Plaintext,Ciphertext,Predicted Plaintext
aaaaaaaa,70f28f8cf6861270,aaaaaaaa
bbbbbbbb,109cdce6c0d2d35d,bbbbbbbb
cccccccc,c0039263f85034f2,cccccccc
dddddddd,5aa8ad3bb6049d15,dddddddd
eeeeeeee,4648738a39392fe1,eeeeeeee
ffffffff,c43d6a3326e6106b,ffffffff
gggggggg,c3ccccca30e0f149,gggggggg
hhhhhhhh,f601cfe4ce37f6ae,hhhhhhhh
iiiiiiii,8702b40ead67f37a, pnttte 
jjjjjjjj,73242cb6f3a15cf3,jjjjjjjj
kkkkkkkk,d07b9bcd3132ffef,kkkkkkkk
llllllll,73052d7304023c95,llllllll
mmmmmmmm,63d8a28786bdc5dc,mmmmmmmm
nnnnnnnn,f16956dba49bf444,onnnnnnn
oooooooo,a2fb8d1a3218ef10,oooooooo
pppppppp,792c77d1f1fe850f,pppppppp
qqqqqqqq,b1778e62c976f463,pqqqqqqq
rrrrrrrr,f5deec6b8e54d578,rrrrrrrr
ssssssss,ee1a2dde887ff911,ssssssss
tttttttt,12be1de1df6614c1,tttttttt
uuuuuuuu,f37b35be381f083c,uuuuuuuu
vvvvvvvv,4d9146e782194a7f,vvvvvvvv
wwwwwwww,b7e154d393dd2ecc,wwwwwwww
xxxxxxxx,c35ddd0b2a806de2,ln onn  
yyyyyyyy,a13c8d9611f660f2,yyyyyyyy
zzzzzzzz,b77b06b193775df9,zzzzzzzz
00000000,f32f500f72b10309,00000000
11111111,df73958e5b0fd706,11111111
22222222,b6aa7ed7be86c847,22222222
33333333,b38f4d51169f8ac5,riz e333
44444444,6ddfc6e0f90be595,44444444
55555555,b3e735952ace82e1,55555555
66666666,e46fee8b14d6b267,66666666
77777777,4c7304abb436426c,77777777
88888888,0dcf84ba941ff5d1,88888888
99999999,9f4e06191abc306e,99999999
A Compre,4320bef0879c4525,m  suupo
hensive ,f5cea7444bf010dc,   o   e
Overview,28cd85c676117d69,tglyoo 1
 of Larg,244eaef4dd532161,eboi    
e Langua,df2b1e97ac926532, ood aar
ge Model,14411a616e3db3f3,nie hen 
s Humza ,e0718c423d0f8c71,p02  s c
Naveeda ,a13248743940304c,tolisde 
Asad Ull,b94e65809a5d9ab0,finetkea
ah Khana,5bc6b36f5f6d1286,do ueesi
 Shi Qiu,64ae0b4a450fe271,sa0  1ea
b Muhamm,33e5a641dc4ef71b,exn3  s 
ad Saqib,681b2fb32a2f54da,n tcaeea
cd Saeed,a5238757efa5dc7c,ttkce  t
 Anwaref,ff41bd870fc2228d, ior   s
 Muhamma,05e5ae67a603f76b, hoar sv
d Usmane,35d71fc89e4fd325,ee n Bem
f Naveed,7c4b3cd09034ef43,imftiere
 Akhtarg,d81e32941103cb13,issol se
i Nick B,edbab58d40864a96,dde tote
arnesh A,f2237c5515b9b836,atarnlio
jmal Mia,8131541b2e0c70ba, oxSsall
ni aUniv,0eaf6f738358f536,linDng e
ersity o,3bb7b4998e48ccff,s wcicge
f Engine,d0af9cc66a3f6b85,icniu ee
ering an,24947f613fc419af,czieees 
d Techno,41bdf985f448b7f0,moo  dee
logy UET,b831d7b2af8f615d,g  lUuu 
 Lahore ,5beab64977717adf,indin a 
Pakistan,a4fcc6991d6234d5,ctten tt
 bThe Ch,8dd74bcc7be968e6,ess guut
inese Un,036621476101c56e,meesbse 
iversity,474604ecf3070245,ralres  
 of Hong,cb912f55dd5b2995,  oeea 2
 Kong CU,75a1f5066e84a13c,oni7c3e 
HK HKSAR,c0a1b3f82edd0ca5,ir if ia
 China c,a86c0683295475c7,mtereooa
Universi,1124ed4f752612f6, reoo d 
ty of Te,6f38d65d31bfab68,k  r  es
chnology,91f73d169bf2a346,esiiiuse
 Sydney ,74a74593f592a204,ar 6  hi
UTS Sydn,9dccc791fb6ae016,d rslspo
ey Austr,a6cb111d56aee615,es   s 2
alia dCo,3558d78e0c8e8e3b,oempoiho
mmonweal,fd848733a9a9dc24,eeen  a6
th Scien,25db7972e4915193, r1ee Wl
tific an,151bd385bac325db,  l   de
d Indust,041395ec1da5f9f8,aelQdrrf
rial Res,e374f2de936f5e60,to2ngss 
earch Or,aaa1b17cddf4e596,e cooiaa
ganisati,c8dcb1df49456ec0,oglliibe
on CSIRO,05e6e049b8399e23, t8 kydr
 Sydney ,74a74593f592a204,ar 6  hi
Australi,96ef389e253820a0,el ulllm
a eKing ,f16d74728abbe2aa,euitnt a
Fahd Uni,2a53c2212d16b52f,  ae  oo
versity ,cbe127d1da7fe21d,s  ovou 
of Petro,53fa6708349a8d7c,mae ctuo
