Plaintext,Ciphertext,Predicted Plaintext
aaaaaaaa,cb6d14e4523fe9c1,aaaaaaaa
bbbbbbbb,16c06c916290637a,bbbbbbbb
cccccccc,a3da722f09f77526,cccccccc
dddddddd,bfcd6d26ba932b1b,dddddddd
eeeeeeee,ca5d308fc42d3e3e,eeeeeeee
ffffffff,c086acaa95883f88,ffffffff
gggggggg,7391f0499679fca6,gggggggg
hhhhhhhh,9ce721dbfbf35a0d,hhhhhhhh
iiiiiiii,0ae3c30a88b0e999,hhnn  Ls
jjjjjjjj,b76fc0a762b15535, jjjjjjj
kkkkkkkk,801c93e2d11a90b4,kkkkkkkk
llllllll,6fa59edad60a1126,llllllll
mmmmmmmm,c5408c1ea01c1239,mmmmmmmm
nnnnnnnn,79e317296cd62574,nnnnnnnn
oooooooo,4059fc1fce425639,oooooooo
pppppppp,20084a88e1c1d455,pppppppp
qqqqqqqq,5bcb1a922a2dda01,qqqqqqqq
rrrrrrrr,0a20cf709064368b,rrrrrrrr
ssssssss,edf5acce854d9f42,ssssssss
tttttttt,93913fa1ad66df0c,tttttttt
uuuuuuuu,edafa4d5c809beee,uuuuuuuu
vvvvvvvv,a01bd42f352d51c9,vvvvvvvv
wwwwwwww,cad28e9aec5d3676,wwwwwwy 
xxxxxxxx,778536de9d32a5ac,ea de vf
yyyyyyyy,dbd24e57c9086d13,yyyyyyyy
zzzzzzzz,72647caa5b2bebba,zzzzzzzz
00000000,1fac759417991df4,00000000
11111111,b44c44d71b4245ce,11111111
22222222,1f1c8771d94af56c,22222222
33333333,dcea2de5f3734098,33333333
44444444,31981fa1c903fd00,44444444
55555555,d6fc2117eaa47b42,55555555
66666666,a1da20dfd2ae00c4,66666666
77777777,8c0914bb33de8792,77777777
88888888,867ececa0a8d6fb3,88888888
99999999,1db98b265344908e,99999999
A Compre,46117d7eda725588,e  teen 
hensive ,f89b939ed87f9268,dhen lig
Overview,0c4510c9c44dd286, eu pinn
 of Larg,d82a705d4aaf38e3,nerhcoos
e Langua,aa559898778dca2e,orooaeee
ge Model,1dce08f097721d87,nen lPa 
s Humza ,11f2d8e8756a9858, t  h bt
Naveeda ,34c1162128e63fb8, ot hwsa
Asad Ull,fe3e84704090f5d4,Tlmrevi 
ah Khana,a68a63510349eb73,reoorrax
 Shi Qiu,4ef41746ce001b59,iusc  pc
b Muhamm,eef5ddb07ad21687,uaae  tt
ad Saqib,ee68708ecd31fb1d,e e ie t
cd Saeed,b14dfec9f93824a2,od  lln 
 Anwaref,ffca1c95aff48998,ner nsei
 Muhamma,e1c7a5850f220d81, ca t 1 
d Usmane,ee780a4c6023f6b3, ue1  o 
f Naveed,8c7bfc68cc74cfac,onng ha4
 Akhtarg,9b1c0d2426a1e76b, lenqis 
i Nick B,2a8792244bdbb711,  erRlll
arnesh A,a5e517d249a2d1ab,aan ndOa
jmal Mia,9c72fc2d51ea9412,s aat  t
ni aUniv,4819466c6fa673e0,Ikoorp w
ersity o,ace56bd69493ac17,d2111 ee
f Engine,a11c30ebb2ab73cc,esec fw 
ering an,d0da998a7c956c4c, loorra 
d Techno,9ba130f2202a05e3,i  ti nr
logy UET,36e0140041f0b1cb,l 0p  hf
 Lahore ,a255bf6be88145ae,euhe l  
Pakistan,210126d99d9b2259,pb  letc
 bThe Ch,6211092bfc61f26b,ceetcccu
inese Un,293e1c7a3f7ab135,neve1tt 
iversity,8a1823f06e198605,ne1int  
 of Hong,abd187ac1f98f80b,uetr irr
 Kong CU,b4e1f475bd8cd75d,snns    
HK HKSAR,1eae61f58a4c0a7b,e  tiu s
 China c,06a6650f8bab698b,erearsss
Universi,739c18cc220ac251,oetesgr 
ty of Te,59a18b1fb5e08721,  o u70i
chnology,c7f0fbe113460b10,eettee r
 Sydney ,6b453d04908b7505, ltreisw
UTS Sydn,6e0545411e920711,gglthnnt
ey Austr,dd9f81d56b260159,rmnde pa
alia dCo,0e3cfdb72b877629,ongpcc g
mmonweal,6814bea71e9e5f88,een Tanc
th Scien,6efb0232783a6b0e, eenlett
tific an,0124593e8c65fd72,l1  ronn
d Indust,fc920d0fc41f3932,trn squl
rial Res,ed951c634bbf71cd,fctrmme 
earch Or,63c091270d441253,oefrlimo
ganisati,280cdb46e92bd729,i uarr s
on CSIRO,7bdb507680debb6d,nMEisu  
 Sydney ,6b453d04908b7505, ltreisw
Australi,d66d50f06f579da4,vu 9F on
a eKing ,677eed405970da39,raozeaon
Fahd Uni,3bbfa380aa7aa32b,ucy msor
versity ,7416e82fe5443e16,hJaol tr
of Petro,6345aafe7ce4d14e,oTT  taa
leum and,6276cc8fbf865347,l moaa a
 Mineral,3944727e14d53331,er nie  
s KFUPM ,ed640a6b0065779a,re sr ee
Dhahran ,e4f79eafc1f30ee8,ittoeent
Saudi Ar,774365b5eb19f7d0,a l  ynm
abia fSD,96142aef442ec837,aooeeenv
AIAKFUPM,0ebc4ded8b2c1129,agaxsple
 Joint R,6bf91275f3906b2a,tSgnndi 
esearch ,f0101fdc0ba2abf7,esearch 
