Plaintext,Ciphertext,Predicted Plaintext
aaaaaaaa,72e6574a87d614ed,aaaaaaaa
bbbbbbbb,3434728ee41fbddd,bbbbbbbb
cccccccc,0ab671c4c75b612b,cccccccc
dddddddd,412eda457ac6bfe9,dddddddd
eeeeeeee,487dad962c0aed06,eeeeeeee
ffffffff,9d98a95bbb11dd7e,ffffffff
gggggggg,ffc688663c20d859,gggggggg
hhhhhhhh,055922a524f73911,hhhhhhhh
iiiiiiii,3489fdc8b8f1eb26,  Rdttos
jjjjjjjj,dd75cbe3bf7888f0,jjjjjjjj
kkkkkkkk,dd87e53d9d424402,ckkkkkkk
llllllll,f6140192145573f2,llllllll
mmmmmmmm,762af75013dd2d0f,mmmmmmmm
nnnnnnnn,bb9436f4cab78639,nnnnnnnn
oooooooo,2bd96fe1a3a6b435,oooooooo
pppppppp,823fe3fded7510be,pppppppp
qqqqqqqq,5b816bda58aa067d, qqqqqgm
rrrrrrrr,d743974eb4501534,rrrrrrrr
ssssssss,a0daa086ff8ed474,sss ssss
tttttttt,fabc5098cd75aaea,tttttttt
uuuuuuuu,524685bbc512abda,uuuuuuuu
vvvvvvvv,9a0c42cdf6deca30,vvvvvvvv
wwwwwwww,cba08bc8cecb87c0,wwwwwwww
xxxxxxxx,75ef72191af17a47,ehyscat 
yyyyyyyy,86b39077d24b5d4e,yyyyyyyy
zzzzzzzz,1ad30c5556839a66,zzzzzzzz
00000000,08ec902dc1e37d1c,00000000
11111111,453edfe8d4f61f1a,11111111
22222222,91b5c17d7fa93464,2222chno
33333333,0adb2059a2a92aa8,33333333
44444444,a03cd805a43843a2,44444444
55555555,160bdbf1459b0a51,55555555
66666666,39466069fa4fe4c9,66666666
77777777,e8f34c402c0277e7,77777777
88888888,c537c4fdd4dd17f0,88888888
99999999,822313063ab683fa,99999999
A Compre,3bff3556d21959fb, ieaaa a
hensive ,7897cbf7614967a1, rt  t c
Overview,01b13abc48d57761,i ct ie 
 of Larg,61126f4f3a1058f5,ee1   4 
e Langua,a13b3e7485a76388,in fbt n
ge Model,720fc5cd203b74a7,rra meee
s Humza ,1a9ea94a348c0fe9,tcseiart
Naveeda ,1b415f4927a96d60,ttee tmu
Asad Ull,acbc9c37ed317cbd,ee  pon 
ah Khana,bb0dc194b92acac1,nn05 wro
 Shi Qiu,228b0520d5667837,ioousuar
b Muhamm,08b9199ba96f7b06,llatoc 0
ad Saqib,7f1995640cac0b73,useeiPtr
cd Saeed,cbf8205b99f52f0c,n1inonsE
 Anwaref,f21f391d98fdaecd,1s ins u
 Muhamma,3b3da1d0b1047e3d,eectrk  
d Usmane,708d285485c29e5a, iipdgns
f Naveed,5991aed1583d9e83,eryt ess
 Akhtarg,3870f853dc45488f,  taJmen
i Nick B,53651e32191706f2,ou  oefi
arnesh A,66903171921a0419,  r inss
jmal Mia,2db77b41b1a9d56d,aarmss e
ni aUniv,70e2bbb2ec248d29,us  oHmp
ersity o,1b0b5f43f4189d69, ohe 3ch
f Engine,10f970212025b44a,c  veeu 
ering an,bdf8c322337e467f,sedrne  
d Techno,fcf9797549dad5df,t nn o s
logy UET,61972158a242878c, ont be 
 Lahore ,730173ec8db2b47b,ayauoeti
Pakistan,d21da87b5036c62f,baeaaasr
 bThe Ch,3dd480b2a626b735,hao oo g
inese Un,f4542a052920c169,   eempe
iversity,6b54861f6fb4c626,aaasrd t
 of Hong,800557803968ec07,olaaadnc
 Kong CU,9d8885e69d7f8e21,iessMeda
HK HKSAR,8495d47c377fdfc7,  inthes
 China c,c0bcb0733f4c4896,ins eper
Universi,2705f890c1344d2b,aaadeeee
ty of Te,ca5196133dda3955,en  sFeb
chnology,6398ca3af1cfd124,theedi  
 Sydney ,cfe1b77098438cdf,gmiQpi 0
UTS Sydn,1748537244534ad6,hmnd aey
ey Austr,68f873fb19c74aa4,n  she s
alia dCo,94c37b4938b0b2f9,en evpei
mmonweal,0c1c4a66dbfd0b41,rssi nXt
th Scien,8a40477b1844bbba,oo  ss r
tific an,74100c2288429497,i iiarIo
d Indust,991fa77b61df2c42,s ih  ly
rial Res,d003c13238156636, o    S 
earch Or,61f584017e622dae,hn tEa s
ganisati,3037cfbab0343fde,rsli aad
on CSIRO,de1e4110f8824caf,da asenr
 Sydney ,cfe1b77098438cdf,gmiQpi 0
Australi,cead4910bca3c66e,Jaesa  o
a eKing ,cb7cc0c3dd721d3e,   peoot
Fahd Uni,2f95fa289fe6e345,nn erodo
versity ,f72dcaecdd3ec6a7, y   e  
of Petro,e57aa0edb766d868,anafiean
leum and,85bb9a386cf06c88, i goioa
 Mineral,dd487f9a44c6e7f6,K  d den
s KFUPM ,ed0035f3a238ddc7,ccy s t1
Dhahran ,1ba6dd13b085b312,  lle ai
