Plaintext,Ciphertext,Predicted Plaintext
aaaaaaaa,f23e17a305970f61,aaaaaaaa
bbbbbbbb,008cd9333d6d71eb,bbbbbbbb
cccccccc,62215735b166cfb8,cccccccc
dddddddd,7354dc5c90cc27da,dddddddd
eeeeeeee,0493e0a12afc05e1,eeeeeeee
ffffffff,d08016a8b34bc880,ffffffff
gggggggg,04a23395f171cf7f,gggggggg
hhhhhhhh,880257a6988a20b1,hhhhhhhh
iiiiiiii,11d32dcf924832f7,rmeelsir
jjjjjjjj,77d4221c722c6f2a,jjjjje  
kkkkkkkk,274902e9f11ab5cb,kkkkkkkk
llllllll,43a28f36cd09b1f6,llllllll
mmmmmmmm,9bf9d401c2c025dc,mmmmmmmm
nnnnnnnn,3368dc707be65f91,nnnnnnnn
oooooooo,2344a56f25703631,oooooooo
pppppppp,b6030aec10a8ee5d,pppppppp
qqqqqqqq,ea044d72417e5bee,qqqqqqqq
rrrrrrrr,aa264ed0721525e9,rrrrrrrr
ssssssss,7d3d0b2a1d0fd381,ssssssss
tttttttt,15013bfd08dac0a2,tttttttt
uuuuuuuu,24e0adb0b871b8ba,uuuuuuuu
vvvvvvvv,edecd95cbbd16b06,vvvvvvvv
wwwwwwww,ec247b42469265dc,wwwwwwww
xxxxxxxx,6dbcb7f65e8b18db,ldg c io
yyyyyyyy,988dd0f339988b1e,yyyyyyyy
zzzzzzzz,3516e45521c1f353,zzzzzzzz
00000000,071e9ff34aab5967,00000000
11111111,cc733bc82a5518bc,11111111
22222222,f4c3b4453e7b5d4d,22222222
33333333,34400396b29af8ca,33333333
44444444,5e09f8bca10caf28,44444444
55555555,eea5854b817320c9,55555555
66666666,26fe90ddfc386218,66666666
77777777,623130c0b0e00573,77777777
88888888,852c19440ecbc464,88888888
99999999,78dd5ba853d1a90a,99999999
A Compre,38b1fd16315d56a2,u e san 
hensive ,13739dabcdcd927c,e ab  os
Overview,0c5d02826b8f4eef, ctmnnen
 of Larg,d39c726b2fcdda2c,r rrrs  
e Langua,6ac662da78c83f52,t oorsss
ge Model,7fcca7a1b38cbebf,e  eee  
s Humza ,b6e3de339e1a2e60,1aoaannu
Naveeda ,beb16c7fec3eaa73,   no tt
Asad Ull,833f122058ee810a,    ssLL
ah Khana,83b80e133dd58711,ils aa P
 Shi Qiu,f2c95797388e87d0,ea ii et
b Muhamm,fde93becde4df381,tWat iin
ad Saqib,259ed8b385047f6d, Clgtlta
cd Saeed,8c3fa3a772494559,aeicviee
 Anwaref,200529699350e474,ib e 0is
 Muhamma,45d50be8fe82ee84,etreeng 
d Usmane,d381b98faf74f85f,sn  nnhe
f Naveed,787325c1b1f42ddd,1  sr nl
 Akhtarg,8d6d0cb83268f375,h  d  PE
i Nick B,c6bdbb07b9bf8425,ta1calee
arnesh A,bf4135930fc5f4d5,ka ien c
jmal Mia,9d085358df2838ec,slas n e
ni aUniv,7f3358e834106e54, i  mdim
ersity o,d04a22b0c66c787a,d ea   r
f Engine,f4b6d11be735ee62,eeblpes 
ering an,0385275b35c33baf,at  pppu
d Techno,9ceb61fba5626745,huatiee 
logy UET,87b9da6c2a762e9a,te5b o t
 Lahore ,a1ba01eb1463b67d,iiizaati
Pakistan,bda30c48b250ad53,or alk 5
 bThe Ch,1a083930462dcf6f,saln etr
inese Un,7b02deb0472ae1a7,  8e dea
iversity,2b54e59a25df3618,lll  oc 
 of Hong,7223a98a9ad33d46,n lee aa
 Kong CU,1b2cb7ece78aa61c, hha  ia
HK HKSAR,eb0038d8003aafb5,utotmeea
 China c,fd250525c999d917,cs  alet
Universi,03e9e18f527434a8,rTd8U   
ty of Te,1073612fc2f0b6fa,eenst dd
chnology,98368f4011f5bc26,re  nnwe
 Sydney ,da847aa0cdd1159c,g aaenge
UTS Sydn,ac70c44637b588d0, W pee c
ey Austr,641c212dda279548,laanBeti
alia dCo,a1e29b4f1a617bc5, odse in
mmonweal,ede47182b46b4ebd,vfoaemn 
th Scien,9e9c02c3508cf79f,ies  ou 
tific an,b0d1faf9ee635254,lay ooca
d Indust,3e21d1ddb03f674c,rnneasn 
rial Res,2ca530443bdcfb30,N3  8eer
earch Or,2b5fab7f1708f8a0,aag nboi
ganisati,2f1e327bffa05500,uuuc ivl
on CSIRO,48505784400b5946,gn a  w 
 Sydney ,da847aa0cdd1159c,g aaenge
Australi,d7b9b5622d9c19fc,l  moor 
a eKing ,756a92f3b9efe22e,ntfede t
Fahd Uni,5e4a2d26afc5e0fa,eesleff8
versity ,f1fd25455c3dcd29,eeeeaaae
of Petro,6f5acf7ca50a2131,syhooaaa
leum and,d2744cafdbe591e5, n nl1 r
 Mineral,88114a7b37db0b50,  ypne20
s KFUPM ,28cd5db16838346a,o l  o  
Dhahran ,fb8fe5b70e42f511,izy g ea
Saudi Ar,8f3d50b8b8066be8,c e   t 
abia fSD,7221416f8878dfa5,anro kyk
AIAKFUPM,12b8d840e4932560,ne racm 
 Joint R,dde8b95bb29bab0e,iasitth 
esearch ,55e096f5e3479b8f,esearch 
Center f,32e7e37218d96791,neen eTt
or Artif,79e0647af88691e6,ooeea  t
icial In,cc3bb26a74880a1e,eofamnls
telligen,5bbbaef80b6bd80d,ln m ssa
ce JRCAI,f123ae9f3265340e,m   n2  
 Dhahran,e7024454b924f32f,   d Ato
 Saudi A,c1b89c1472a593d7,ac enccs
rabia gT,28313723ede2d660,ggrollh 
he Unive,59b176ec4f89d157,euratpur
rsity of,b566aa4220249345,omerstte
 Melbour,12dfe060c54a746b,ao 0  s 
ne UoM M,c790550875092727,   d oii
elbourne,2c17667e83f1cb7f,onnpo oc
 Austral,95c14d5f9237bf88,aeeeveie
ia hAust,69c8007fc6deb492,2o  in f
ralian N,25cc378417ee9574,er tr ei
ational ,8b27e7594835546e,ational 
Universi,03e9e18f527434a8,rTd8U   
ty ANU C,3185f1dd78fde241,itn nc  
anberra ,fc84088a3e319f7c, eaaaiii
Australi,d7b9b5622d9c19fc,l  moor 
a iThe U,d1860e0a29ae5ddf, uleen t
niversit,2228c045e1cd3664,igigiwel
y of Wes,ce2583359a619585,Yied tht
tern Aus,0e980884dbc93382, ennaall
tralia U,24672d49742412d8,2siesdof
WA Perth,7951ea008ee0703a,e  ee aW
 Austral,95c14d5f9237bf88,aeeeveie
ia Abstr,10337bed761544f9,s e y ff
act Larg,31f2f70d9d43d15f,eaeo0 a2
e Langua,6ac662da78c83f52,t oorsss
ge Model,7fcca7a1b38cbebf,e  eee  
s LLMs h,623a060ad07ad257,2 3  o  
ave rece,ebce815799e48a93,aage wpe
ntly dem,4525a62452adfae3,he tein 
onstrate,a65616432e140619, riin tr
d remark,95fab45fdd57d45e,zheas s 
able cap,98f38ba7309dc5b7,eeissdll
abilitie,ff30fd39301b217d,an viotn
s in nat,b8a6609e752247a6,  isnn l
ural lan,65e12a6cae4c1fe7,ns f rtt
