Plaintext,Ciphertext,Predicted Plaintext
aaaaaaaa,20960542462a45c9,aaaaaaaa
bbbbbbbb,eec29ac854c275da,bbbbbbbb
cccccccc,98fccde7e4c81c2d,cccccccc
dddddddd,cc9486543653736a,dddddddd
eeeeeeee,754b46049f140ce2,eeeeeeee
ffffffff,b74f3cb158ba63fd,ffffffff
gggggggg,c1079cdd19f2abc5,gggggggg
hhhhhhhh,165d70c5384f215f,hhhhhhhh
iiiiiiii,cf3c37e109ba5485,g ee   h
jjjjjjjj,7121a1200d558a8e,jjjjjjjj
kkkkkkkk,81fd9571015c5735,kkkkkkkk
llllllll,460994ad1b861b8f,llllllll
mmmmmmmm,fe386fc663526d42,mmmmmmmm
nnnnnnnn,5132c942cae1de64,nnnnnnnn
oooooooo,eeb7159ff87726a6,oooooooo
pppppppp,8b34bb58ef0bc228,pppppppp
qqqqqqqq,a675fded968e6176,lPqqqqqq
rrrrrrrr,249377f41fbc789e,rrrrrrrr
ssssssss,86258cad9b85b5ad,ssssssss
tttttttt,cdefa8aa45a56bd0,tttttttt
uuuuuuuu,ec65b3c9cdb1729f,uuuuuuuu
vvvvvvvv,3c9ec8e315bebfaf,vvvvvvvv
wwwwwwww,426339b381d2f9a7,wwwwwwww
xxxxxxxx,cf4d2acb00f88ae1, ouatee 
yyyyyyyy,ea29d5db7749b18f,yyyyyyyy
zzzzzzzz,bd94ff16ffa5fe69,zzzzzzzz
00000000,d811ea2ad7bd512b,00000000
11111111,829f95867d52c596,11111111
22222222,141333b4ebb8d5c8,22222222
33333333,15a3ea8283d018f7,33333333
44444444,3d97154ff4b75c8e,44444444
55555555,9b511f346ec87504,55555555
66666666,f0f17e98dbaf4f4f,66666666
77777777,e6b68078d796cb08,77777777
88888888,326d287dd4ea4a59,88888888
99999999,2d6902f280aca72e,99999999
A Compre,2287c908a26a53a7,aye e2 c
hensive ,9a0a32d3187f7ac3,isnb  lO
Overview,fcb8fe1c96423cfe,Cn ynnnn
 of Larg,11052ae7d23ece4b, oaa tra
e Langua,af707f7f1c883096,JeeGn K 
ge Model,18f9826a6171c4e7, sekawde
s Humza ,de088c798da1f004,ms 0    
Naveeda ,12f5d0be4e52062a,rrlaasii
Asad Ull,e85867426cb7e2c0,ltton  a
ah Khana,d91e23a39bc9862d,ta trn i
 Shi Qiu,983e9eac18b82516,nteentpt
b Muhamm,e886acfbd801fab5,n7 aCr l
ad Saqib,6d768b7e52e3b7b2,rrdre ss
cd Saeed,77211f90ced88567,tasase e
 Anwaref,962c54cf247b3674,s til on
 Muhamma,3f3685b568534721,saidksm 
d Usmane,d40f1e545d067fa5, lr aihh
f Naveed,557ab8b8b2d40b9a,erlll  c
 Akhtarg,2dc2c74df9d8ae66,porr r  
i Nick B,b71d9810a5f7c41a,t6eii ne
arnesh A,dc3d33586c805264,os eenar
jmal Mia,6a23be6bd10877d6,  d  e r
ni aUniv,9df548f8d425fe5b,daln eed
ersity o,b37eda682e39a447,nGwU m  
f Engine,737fa45475624b6a,ng detr 
ering an,3d00193f643577a6,on  yUe 
d Techno,723c73c620099d45,osr r0m 
logy UET,ff93e7d29fb724bd,   st  o
 Lahore ,8f6753c4430b6af4,  bae tc
Pakistan,7cc9645660a073b4,heheeerl
 bThe Ch,a5f81d8567cfd22a, tt abt 
inese Un,eef8d92b34d0a268,n hirt u
iversity,9015ca4a7a0893dd,rmaaeb b
 of Hong,f416d2ff68e6db5d,ldlte an
 Kong CU,8a6f8ee59262213b,aattiO  
HK HKSAR,3bf783ef4b51e1ae,x atllen
 China c,151c0453b89d9ce2,nt valsi
Universi,a03c904fce1bd2c5,h le e  
ty of Te,23b83501b7f404dc,y  tey i
chnology,0a21d1964e505dd3,onp nr l
 Sydney ,f6a98df7026153d6,  ssdrii
UTS Sydn,d13f893fe75e4a4f,fp ofos 
ey Austr,d2d4fe7324f12176,sdtr de 
alia dCo,f764b0f6a76d530a, Cstamfa
mmonweal,e740565bbbd1af5c,eei   vr
th Scien,d3e613533b100958,audue  e
tific an,1a2db44478f802c0, ia2lt  
d Indust,b6530d64967cf07b, nn  lye
rial Res,81ae134778800c7e,cr alfnt
earch Or,4aeaf558efc1a852,fn d e  
ganisati,548cf46d5c804462,ruoieoge
on CSIRO,24c0ff13156f9daf,e iaaaev
 Sydney ,f6a98df7026153d6,  ssdrii
Australi,e7c30bc94d633a49, daull  
a eKing ,60786d7acedb7eb2, lcoorrh
Fahd Uni,9235a50abad41b97,ot   Aed
versity ,8a6736b401e88869,1dt tlt 
of Petro,82e534660d0e45b4,ggi5  OP
leum and,b9517adcd35af61a, o0 LL o
 Mineral,e9ea49cd2917db74,cnt odo 
s KFUPM ,9171674c749a3cbc,saua rde
Dhahran ,aad0c4052a272e52,lan eeeo
Saudi Ar,694231da0e2b0ca5,ppar otr
abia fSD,4b0efaf8bac1a829,ubus e c
AIAKFUPM,e93605ff85499579,aare   a
 Joint R,d90adfe95ac01a8b,iiii dhu
esearch ,42ac4e0f96a3eccf,esearch 
Center f,598b28e98c833dc0,    07de
or Artif,3e34a3c82de4e757,ioeR o h
icial In,70475a89fe85bb75,ileet   
telligen,209c305987868356,tts    i
ce JRCAI,fdab611295e65c55,Xa  taes
 Dhahran,6524c633743237c3,srasrbe 
 Saudi A,cfdf09c1805e694e,bw2e  or
rabia gT,d0845ed3701ff1a2,ddoe umh
he Unive,3416c53c6666a82e,r oot   
rsity of,7916c40d98d2ea57,llseecat
 Melbour,ebae8f741829aec0, desWtha
ne UoM M,f6074b2540fad182,6s cnn  
elbourne,b3a01b67ea3a6b8a,s0see si
 Austral,4936f93b01e7e1ee,roem t  
ia hAust,7751c442981b236e,tr nnpgn
ralian N,020f25dd8c22f6d4,cms iaae
ational ,6c7a5d22f6ce564c,ational 
Universi,a03c904fce1bd2c5,h le e  
ty ANU C,acad7e98de126e68,dato eae
anberra ,75c7da9ad22e1a6b,ng  2hee
Australi,e7c30bc94d633a49, daull  
a iThe U,f6c581131f7bf51d,  theccd
niversit,5d8a8d8c630160ec, iidno f
y of Wes,23ec79aacd2d447e,tri e be
tern Aus,3c8e7b5bea0764d0,  oottit
tralia U,0093b2cf50a4f96e,oshh ren
WA Perth,1572abd243374bd0,h3rr cen
 Austral,4936f93b01e7e1ee,roem t  
ia Abstr,e70a8ba969572f90,niupp lr
act Larg,65f01701d2959302,oNaa l Z
e Langua,af707f7f1c883096,JeeGn K 
ge Model,18f9826a6171c4e7, sekawde
s LLMs h,a09356604146a462,eelsmert
ave rece,5c8f88c731ee3f19,iin   io
ntly dem,4cec67b5f2270973,jo Blya 
onstrate,b0a96a5d72150656, re e a0
d remark,2ff3baca07de176f,ussd rri
able cap,2db4fc9ca196b69a,r lo    
abilitie,73fd696c14fc2bbf,v  n eed
s in nat,2f45faeaa732853a,sza1Na n
ural lan,295b5a0a5459f065,atceH te
guage pr,e33fbd9adf922f4e,uanf  ar
ocessing,9363e5a1d75134c6,ocessing
 tasks a,336c9f4747898abc, ueppln 
nd beyon,a262fedd26f5ba36,slln ddt
d This s,3f4e9f7fb4a43684,ocedencl
uccess o,ad4bfb166527c4bc,ut i  ee
f LLMs h,4bbd49fb52212b71,tteu yii
as led t,af819cc04939d755,dr  oo e
o a larg,891a4159d43015e5,  eeint 
e influx,957833b205fbf053,aats hee
 of rese,e92898f779bcb951, he lor 
arch con,4745d92fff7b2c95,  iis tt
tributio,d24d17c5ba59e902,tributio
ns in th,0a18fc83c9797287,ns in th
is direc,391a75d05529e12f,arrereAi
tion The,34000e7eded9db33,r he66d 
se works,8945fc0ace5ae7f1, yee i  
 encompa,0c602ece58cfe483,oovnb   
ss diver,5dc77fd990475a60,ahhii ee
se topic,5ae94e0a21a512d3,o  ree  
s such a,8fa21310e0258b7d,hin eaax
s archit,3557380435ad4081,t00u0ssn
ectural ,d5e6a08c03618b20,k peFi t
innovati,7634a5df25c23a50,eeg elt 
ons bett,eaa76118bd7af534,guieddee
er train,df12dc25ef97eff1,er train
ing stra,79fd054c1eed40fe, reda aa
tegies c,48361d3a846dd33d,mtir men
ontext l,9a81a7e177f0b9c8,mnme   l
ength im,824005d9c7eec951,   lpdea
provemen,6e32c72bfb0448d1,nteem1 l
ts finet,4364878325d90bcf,ti eelec
uning mu,ac22636935c1a2cc,cb oBoii
ltimodal,e819c13a8537d3de, iie rSr
 LLMs ro,4f71adb3b13423d5,f  5esQ 
botics d,c80629890d48937f, rif  ct
atasets ,b53418027c894309,iI toi  
benchmar,767dbb1eb1fb0479,h I emt 
king e f,ec048b5680e1fa13,atiOor t
ficiency,87e574a62a0abb38,ill  dM 
 and mor,e89580d46ddb252e, and mor
e With t,ec30a9981b75d1f8,ee  poot
he rapid,1d76f89be06574ae,tiAllltt
 develop,2c22330337cd84e7,Ri re la
ment of ,a904a822c5a831b6, d uuutt
techniqu,04c0a4336e139de1,hsn  u0A
es and r,b2d5ba80ff369e83,bkoa tti
egular b,062e20aacbcda8f8,rtoue re
reakthro,9124c9ecd0d4eb38,llns3tse
ughs in ,4dfa517cfbf7f34a,ebt Aesh
LLM rese,3c8009afe93eaed4,nnt rer 
arch it ,ad11f103b89c2683, athhnAn
has beco,922215b09d941db0,  mo mmr
me consi,13f8e19af0755756,d  re sc
derably ,961b5d45928af88e,ifttafi 
challeng,3034dadb59b8ba9a,l  antNL
ing to p,c51d32e9ad7fd340,lmtwt ue
erceive ,7cb25c7e4de046e7,siere  a
the bigg,bb8257519aeb302a,Mat isb 
