Plaintext,Ciphertext,Predicted Plaintext
aaaaaaaa,aaf8b4a724ddbfcc,aaaaaaaa
bbbbbbbb,a0bdd8102b3398a6,bbbbbbbb
cccccccc,9068c2d2fadbd898,cccccccc
dddddddd,7e717044173d61d8,dddddddd
eeeeeeee,3e4c72e7a6d97c66,eeeeeeee
ffffffff,78ddd139a6c7ef71,ffffffff
gggggggg,1c625dfc3aebc889,gggggggg
hhhhhhhh,2e8ca27e9a79e8d6,hhhhhhhh
iiiiiiii,50f3856b730cdf10, us ceiv
jjjjjjjj,9a42dd7780d01eca,jjjjgjjo
kkkkkkkk,b01439c963b4b1ac,kkkkkkkk
llllllll,f25b800c211eb62e,llllllll
mmmmmmmm,19d70d239123856d,mmmmmmmm
nnnnnnnn,fe46f7b1c5402a80,nnnnnnnn
oooooooo,d59065e6def891d6,oooooooo
pppppppp,5944b5823580d6ad,pppppppi
qqqqqqqq,9388eb474fa884c0,qqqqqqqq
rrrrrrrr,82266f2143abc40d,rrrrrrrr
ssssssss,99a0a4b1a9cea8df,ssssssss
tttttttt,1826f99c2d812777,tttttttt
uuuuuuuu,3cfb3791f27ba3eb,uuuuuuuu
vvvvvvvv,24b3141c2a9c02f2,vvvvvvvv
wwwwwwww,82a226ccbd730211,wwwwwwww
xxxxxxxx,9d3639cc1b95713a, i  Hpta
yyyyyyyy,1f6f5da3944c2a46,yyyyyyyy
zzzzzzzz,4c09c2e1ddcc7079,zzzzzzzz
00000000,67195699113c9380,00000000
11111111,bd9e3d498a855085,11111111
22222222,74cda4cbef1d8df3,22222222
33333333,5fe551f01835bee7,3333333f
44444444,179f3298847218ac,44444444
55555555,6f1c2b9fa44e15a6,55555555
66666666,6682d34ce053b212,66666666
77777777,d50c0be90e1409f2,77777776
88888888,3ae936ea22f03306,88888888
99999999,6ad107ca08bb3013,99999999
A Compre,c7d3ff82b46d66eb,otauomeb
hensive ,662cca363f29cd96,g ccrtt 
Overview,5b0f47c5bde72497,r    eee
 of Larg,35147b76afc04a8c,rdiltsn 
e Langua,4e20a28f3e358c33,ie g 2l 
ge Model,611110897c877a87, Efedtte
s Humza ,bcaeef2522df89ff,  adeeen
Naveeda ,e1b78d7e7ff455b0,l on  la
Asad Ull,390da91cfdb8d8cd,doWeggdi
ah Khana,117381505215484f,am t id 
 Shi Qiu,223f6c2b396dc65e, ttoef7 
b Muhamm,7ac3c522adbf8127,1me r ta
ad Saqib,9f0c058ca8f899ba, rneeeer
cd Saeed,cc89a0916b7d9408,mmd   Rl
 Anwaref,898161f028d43320,e 3aae d
 Muhamma,71a70355022a8f05, e csoss
d Usmane,5bb5911c62676e15,oiiii Mr
f Naveed,39cffafc401f0093,tao l  i
 Akhtarg,e1ea49b2368ce424, ivs  ln
i Nick B,6a0590e68dadacb0,a  ees 1
arnesh A,7bc8ca3e0a33a6df,uuurail 
jmal Mia,4f1c42234a9de641,hinc   2
ni aUniv,aff07c1552679c04,oev   nn
ersity o,8f25fde64616168f, nrrrr t
f Engine,87ef6e35f91fde57, el isch
ering an,83a41fb0384afea5,dssled o
d Techno,3ef42c4812bc23ef,abboslpp
logy UET,8e30092d380c8b15,uiCaLiil
 Lahore ,66550b3936713110,amacsrc 
Pakistan,b06b532550432928, Rr  wwa
 bThe Ch,a141ce77d6affc22, oneaa v
inese Un,3c40fbfbd8ba8179,aralnnn 
iversity,de2eada50d169812,lic oe  
 of Hong,8a9db5832d0d74f1,y  ir   
 Kong CU,f05d76bdc3d0997e,e d aatt
HK HKSAR,a48e6467f9b4d522,tbeteumo
 China c,f87c3686877c7126, otanntd
Universi,8069061ec7bbbf97, e  oidd
ty of Te,84c38e9ef34b80b1,  c   we
chnology,f7554f0230c5261f,edgUone 
 Sydney ,1ec314e4be77ad83,rra  tee
UTS Sydn,97f6c0fa042537ba,s  suzee
ey Austr,674d481b0e8613df,   dtees
alia dCo,4b57f88a43573156,o   aar 
mmonweal,4b2cea574e9169dc,setugsnt
th Scien,8396178c23f73870,W e tso5
tific an,1d4dff10692cec84,ion e oe
d Indust,17eaa3bde3690d27,LLoeeece
rial Res,a48cf6df7d505b21,e y mffr
earch Or,a8a2b8628487fecf,ae etwbe
ganisati,96e2b7e969e98194,in  nd e
on CSIRO,685e326178bba5a0,cr3e t l
 Sydney ,1ec314e4be77ad83,rra  tee
