Plaintext,Ciphertext,Predicted Plaintext
aaaaaaaa,f87e182c566b2ea4,aaaaaaaa
bbbbbbbb,845128a4792696ce,bbbbbbbb
cccccccc,cd4ab98684c604e1,cccccccc
dddddddd,e101fba5e3fe700e,dddddddd
eeeeeeee,3da58f755f800847,eeeeeeee
ffffffff,0b0e45836daa5e18,ffffffff
gggggggg,cc9ff87f80e73a2e,gggggggg
hhhhhhhh,71111a9ac3108db9,hhhhhhhh
iiiiiiii,747b6007e90e93a2,ustiudos
jjjjjjjj,c51c5e54c73e3f76,tjjjjjjj
kkkkkkkk,3e9586ea4c094a63,kkkkkkkk
llllllll,9065fce80665ab99,llllllll
mmmmmmmm,c710aa71daf8480d,mmmmmmmm
nnnnnnnn,4d991abbeecae68c,nnnnnnnn
oooooooo,a80a6adc2138129f,oooooooo
pppppppp,1f7f0a8a80c8ff9b,pppppppp
qqqqqqqq,2eaeed2be768fe52,qqqqqqqq
rrrrrrrr,bf22f4a182786089,rrrrrrrr
ssssssss,a16dba9fbb648683,ssssssss
tttttttt,7b84af4bab1fd776,tttttttt
uuuuuuuu,b6e4d5a6b09b0d49,uuuuuuuu
vvvvvvvv,d2def92050646ad9,vvvvvvvv
wwwwwwww,10473b1963e1470d,wwwwwwww
xxxxxxxx,bb9358a8a8cb4538,oesearnr
yyyyyyyy,ab66e450eb559dd2,yyyyyyyy
zzzzzzzz,edc011d56f5715b8,zzzzzzzz
00000000,e1d3c93e8de4606e,00000000
11111111,1abbd26acaf00aab,11111111
22222222,6dfc527898aec4e0,22222222
33333333,5169fb4d1ef47f0e,33333333
44444444,89b9b7a13d8bc3d9,4444444i
55555555,a8670cbc61a998ef,55555555
66666666,ddad646889505962,66666666
77777777,86a17075950eb041,77777777
88888888,a1fc960faebc5688,88888888
99999999,a617f4bdeb4d8f8d,99999999
A Compre,bab8e6b9cf0ab133,hed 2Mtt
hensive ,6f29cc47375ea24f,giasts  
Overview,9cf22166e20a076b,ositx cp
 of Larg,f240bfd919ebfb7d,iiagn  m
e Langua,222e7b7237c71112,eIun  ad
ge Model,f14bfe6b32e2f183,iiotheaH
s Humza ,ba0793ad1464eabb, en ahd 
Naveeda ,373756583f7cdaf1,oF apnxr
Asad Ull,22f8d42039414a3a,erxec  a
ah Khana,ea9478d78889d831,obersos 
 Shi Qiu,0e17bcc446115a9d,ssnr e h
b Muhamm,14e2dc82afef72c6,anU tera
ad Saqib,6409be672f74a776,r  ee tt
cd Saeed,9916a952593c9de7,ooroeeui
 Anwaref,85a9200ae6484ae1,n ihdlpl
 Muhamma,b3b7a7eb4f7f65ed, nnPsr  
d Usmane,2ec894fbd31b915d,tOw mttt
f Naveed,02692d0d53d14512, x  5iBe
 Akhtarg,02b8b1c18f1fd15f,ursns tt
i Nick B,8919655dc95c2026, lkkoi t
arnesh A,068fdb3b7234505c,uaiflrrs
jmal Mia,32deef4de4827756, in  itd
ni aUniv,3f732254b210f1ab,haype is
ersity o,cf05c5027d665676,sftohc  
f Engine,24f5897d7c737d39,go   enn
ering an,555ba029e3fd0478,aezrr uu
d Techno,7818ccc944772082,m ict ep
logy UET,b3a94e88526ef86f, Wei1y  
 Lahore ,d28a5ab043406f8a,dffreett
Pakistan,05aca8938e5b1e05,ensos Ba
 bThe Ch,355c3f113779628b,ask rLnb
inese Un,beb056bdd068df95, e v imm
iversity,add6b667b20d5ee7,reneml  
 of Hong,7636c885d9ddcab9,earcchnl
 Kong CU,f0cbc5ac1ea7f585,mueeag  
HK HKSAR,9e5b082a2619d56c,R   vsoe
 China c,5cda23cd02f5cab9,0  ouhyh
Universi,c597366948c66603,hhenaiTi
ty of Te,daa61bf494e667b9,i tuaasg
chnology,95ca94add80405d2,eh i iau
 Sydney ,6350c57e47249e79,cL  in 1
UTS Sydn,84f2df9006198aed, esi ala
ey Austr,92c6547400f58071,  elche 
alia dCo,e963b28c6d1e6b29, toleaa 
mmonweal,b7b9a47e66b857ad,e Rmooss
th Scien,8ec605c101e8cce1,Ws tTth 
tific an,4a69020c7071d876,d tape  
d Indust,bcd6208f9dbc9142,0ss pfti
rial Res,6226dd6931620104,ed  rr a
earch Or,7c6b85101ccd236f,49ae87fb
ganisati,a11f673dbb427824,og tlliv
on CSIRO,45f955460919be23, ne cpUe
 Sydney ,6350c57e47249e79,cL  in 1
Australi,3c990b117035ad69,oon deeo
a eKing ,9fcd65594bfa426a, 2isc  r
Fahd Uni,6d37f94f2ca4ea4a,igstaXid
versity ,9bfd4630fd3c9c10,socfeeee
of Petro,2dab163a2fb0412e,adl21 au
leum and,c64843030c7e878b,ce1 istc
 Mineral,3545c92c59203323,kond  eU
s KFUPM ,2cfad8ca323caa4a,ehhage o
Dhahran ,7e5ff2e58c4352d3,n  tidba
Saudi Ar,e0b056b8ae67b04f,tn  egms
abia fSD,ccfa38587d9ddf1c, twras i
AIAKFUPM,f761ed883771b7c2,ti cdbsa
 Joint R,148fb524c5f27556,edds  va
esearch ,433905383ffec2f4,esearch 
Center f,64cfff244ce2cced,tsmr  fn
or Artif,0773be52c3df4328,nrgiaeen
icial In,4a45fd67d7cb3aae,pteettee
telligen,7ccd29358c851271,  s k ri
ce JRCAI,d7d3656c7e13f45d,sinee  e
 Dhahran,9c5a5e57e4859f44,e  a ann
 Saudi A,afd3db3d4b1b9e16,r l tdou
rabia gT,864726cb945b2e78,f  ieaee
he Unive,6d58ec3937df4839,fth kaya
rsity of,afcac2fc7cf76e0e,rr   igl
 Melbour,aa7798378e481a0a, ses spo
ne UoM M,dfa196c9d1754ac3,gii  i  
elbourne,9375ec80a42eba00,aa  re  
 Austral,b032b6419014ad27,   ammi 
ia hAust,67a34e722d403ef4,2pidKicl
ralian N,ad75aa74ad6cd366, be tcne
ational ,ea2a1bdcb60c751a,ational 
Universi,c597366948c66603,hhenaiTi
ty ANU C,8956ffabf9fe23f5,d  eeeet
anberra ,1edac83324330ea5,ami emne
Australi,3c990b117035ad69,oon deeo
a iThe U,11b757dda244482e,oos ssyo
niversit,318bb3e93d2a23d2,e  pu iy
y of Wes,bdec2d7ee4080749,  rgtitu
tern Aus,0261a2ea84fe2d0e,   bdton
tralia U,2083ef647a4b4e80,tdeoss A
WA Perth,54f1a2a8bf165251,mmn  o  
 Austral,b032b6419014ad27,   ammi 
ia Abstr,bc81c774110193ff,oxsee Ct
act Larg,4d299fba296e813d,gootitvv
e Langua,222e7b7237c71112,eIun  ad
ge Model,f14bfe6b32e2f183,iiotheaH
s LLMs h,9601d5486b4dc390,oidd aee
ave rece,4029ff5f987ad312,ette lkk
ntly dem,1aa13be6aa8cdf7f,twiiir u
onstrate,b8869eae8f4c2c61, iseapl 
d remark,de0df2bf13401505, sss  oe
able cap,2287e22b62d9cd6f,eelf t i
abilitie,72b9c2fd71abf126,lCrrripg
s in nat,0ccff3dc4313be64,dset eyr
ural lan,15b78c0c8cb0b6d8, r2ianli
guage pr,e032667401698e16, ceoetk 
ocessing,35c82ade4f0c63f0,ocessing
 tasks a,7cc611d0dacca4d9,in  tfni
nd beyon,b78c56388340ddeb,s  rpIEh
d This s,158207473d5fbdc8,v us rpm
uccess o,93912e0c767c0156,ftrrar3 
f LLMs h,e864e704807c09cb,te  o aa
as led t,671e96b4b39f99d5, aaru s 
o a larg,99068abd8c28ea7a,rtpie ss
e influx,c63df4173e0ffb53, d7ooe r
 of rese,3041c2ecccad234d,ggti dee
arch con,cac66f896e08032b,n nork s
tributio,8173ee41d2628948,tributio
ns in th,296a7001b0ccb646,ns in th
is direc,776a6cd382300433,dbf odtr
tion The,bf99bb0739b375d0, fmae  e
se works,93904aaa5eb3321b,oes hh 0
 encompa,16d085e95e90a520,iiim 2sg
ss diver,0261030ab0919768,a y1sbl 
se topic,fb3b27bf408d2e3a,rmii  oe
s such a,adc84eadd51b9294,tueeeese
s archit,331fcdf1e8c5f326,h  7eaag
ectural ,44efeb0778de7efe,f  on  a
innovati,7148f336cf5f5104,S mnccii
ons bett,f466d2b3782e8600,e Saelnp
er train,70676b7c120138e7,er train
ing stra,55019589408fca62,oodWeev 
tegies c,e45a5092532a674d, tluedip
ontext l,14cb4e76b551f7b9, stdeat 
ength im,c0e56da8dfa6cc17,lo oppe 
provemen,3c9920d384854eb7,ioaha ee
ts finet,07333f19a6020d84,ega  oo 
uning mu,b9f1368d5dd8af6f,dsepur a
