Plaintext,Ciphertext,Predicted Plaintext
aaaaaaaa,2844119eda4dac96,aaaaaaaa
bbbbbbbb,deb0aa2e9c6adede,bbbbbbbb
cccccccc,198237beb9e5253d,cccccccc
dddddddd,2ddf3f8b72f82ddd,dddddddd
eeeeeeee,0f100c5a85f8975d,eeeeeeee
ffffffff,29ce4608cd145ebb,ffffffff
gggggggg,c72bd286dd42037f,gggggggg
hhhhhhhh,8143a7d54f2f02e5,hhhhhhhh
iiiiiiii,852efaedb425f012,ne tivnn
jjjjjjjj,aa4618a38be536b7,P0h jjjj
kkkkkkkk,b0852f6e76576828,kkkkkkkk
llllllll,77d3c63e02d937e0,llllllll
mmmmmmmm,dbe32fb5ad93c77a,mmmmmmmm
nnnnnnnn,ff45d4bbcbe0adb0,nnnnnnnn
oooooooo,df0bbc8c7a227b2f,oooooooo
pppppppp,85114ef57c1face7,pppppppp
qqqqqqqq,93e9f3a61a3c4f68,qqqqqqqq
rrrrrrrr,b144ee4189ce6a71,rrrrrrrr
ssssssss,f91ca53aec6c7005,ssssssss
tttttttt,fa7206b584754f62,tttttttt
uuuuuuuu,9566ee24a4a875a0,uuuuuuuu
vvvvvvvv,38c22eaf43626b12,vvvvvvvv
wwwwwwww,fc0686ebdcd9cd30,wwwwwwww
xxxxxxxx,2b06dfaed7cea6f8,erec epe
yyyyyyyy,ed08e791e5cc4668,yyyyyyyy
zzzzzzzz,68c5cf97d4a28663,zzzzzzzz
00000000,fc0ef4f5186c60fe,00000000
11111111,4a1b644eeaefd5dc,11111111
22222222,2629db61c1864d3d,22222222
33333333,2c99bbe40fc7ae82,33333333
44444444,9e5a4ff368c720e5,44444444
55555555,0e9bca3c99e56756,55555555
66666666,3a6c7ab03d04af4e,66666666
77777777,6352ab2d3bff1a14,77777777
88888888,820e87af9efef1e6,88888888
99999999,480afade46d66e15,99999999
A Compre,35ff13cb55835fab,ou ii cc
hensive ,54e3d8efdf9916d6,r onweet
Overview,4cc06cc45a7c27a2,bt n dti
 of Larg,6e82de5f9d2cbb43, pe tir 
e Langua,0122ef4069e52ac7, ex aanh
ge Model,90c5ce0a5bf48713,ph  11r 
s Humza ,d06f549343be7b39,ie  es e
Naveeda ,cb880f50777f93d8,iie ear 
Asad Ull,fb16db615697b85b,gta t en
ah Khana,c4c171b5e83109b2,A   Let 
 Shi Qiu,d188f8133c2d4da4, t0scesm
b Muhamm,426370a63dfd13d9,g  dncpm
ad Saqib,e7421c36807e122c,Slsora e
cd Saeed,86cb075fff3431c7,ai naltt
 Anwaref,6d954d218584ba0d,etreeGos
 Muhamma,ceb306e4adee6985,pp  me p
d Usmane,f6d2d62158ba4c10,  h  ots
f Naveed,86aa6bc0a7c7811d,tw aao e
 Akhtarg,9e3c330e1080698d, sp alld
i Nick B,787358e475a560d3,oes e mV
arnesh A,7313b66c9435de88,ask otte
jmal Mia,3caebce49db434ab,    a uu
ni aUniv,173be654d4f559e1, t in  e
ersity o,c9dd48b48ef984a3,  piutt 
f Engine,0789f4311593f9b1,teeooiic
ering an,53b3a9a0b7a16fa4,tss 1  l
d Techno,7aa3c4e4ce84ade4, ludtlon
logy UET,be26a02abda29839, uantin 
 Lahore ,e3804bebbb096983,t o e ee
Pakistan,7a02e051bc0fd3ee, n guyue
 bThe Ch,6800697fc6cfb96f,e uIgg  
inese Un,ffa91465330384b0,octishco
iversity,fd1b6e46a9930c1b,sapes mp
 of Hong,fbfbcd0b4ccb53ae,rrp as b
 Kong CU,eea3f4ae36f3312f,ss reltp
HK HKSAR,c5ab7dc8d9ef41e0,tfiantNM
 China c,bdce9e9554298043,t e  hs 
Universi,05764380be3b34f7,te  t  w
ty of Te,394a2300768b2230,aPiee l 
chnology,214f840a012d17ff,   cct r
 Sydney ,192ca90b6cb2911d,u un r  
UTS Sydn,150b1a392f00e293, idafyyd
ey Austr,262578022dcd021f,W eeodLL
alia dCo,39a538adeb187c4d,onr aooe
mmonweal,b353862fd672948c,m Okk lt
th Scien,ffaa5ce815cd4616,n0ti4 04
tific an,aa5f9f995567aa23,itnta e 
d Indust,7f4abb531ea0ee2d,  y  7a 
rial Res,2582087d549153b6, Os rErs
earch Or,bbb715a79d7a1dc7,ene anni
ganisati,919524a5b39fd3db, eu    2
on CSIRO,c2ad05e62ce68a73, testeee
 Sydney ,192ca90b6cb2911d,u un r  
Australi,ea7c6c0222dae3b7,hoo eeo 
a eKing ,9b342acfe4a23664, usi ane
Fahd Uni,75b57ed5d012ed4d,c  heis7
versity ,814d256377702679,de pasli
of Petro,cd685f7284ace00c,vSlaaact
leum and,36262c7b233c9d4b,riminc t
 Mineral,beace1dfe0c5de31,iilspemc
s KFUPM ,28c7af4689541409,gh2or g 
Dhahran ,ee99f5f3575a4265,esaMioa 
Saudi Ar,641879b987e454fc,hn9 ba  
abia fSD,25bc30199ba09391,  ssagvi
AIAKFUPM,ded48486a8729de6,mrttaen 
 Joint R,6da859dc9d695209,tiee   p
esearch ,3e3065e1d447305d,esearch 
Center f,8a6846bafc877d9c,dsua0ien
or Artif,229b2798c97b45ec,L E t tl
icial In,1c58a136111d4c4f,  dna  e
telligen,33dedd73e8355598,eneiidt 
ce JRCAI,d3e4d4b494bc9950,uga 10 d
 Dhahran,c2f0deddaeb44b0f,tuGttn  
 Saudi A,e877698e703afe7b, hhsau  
rabia gT,c0150bebf47859f5,d d efme
he Unive,1d77768bb568fc2c,  iarl o
rsity of,35257d56b837a527,  irue  
 Melbour,b70f3f1f7d35a497,n svdicn
ne UoM M,75d829bc1cb934ee,t andeAe
elbourne,06ba5ee68fb22052,towtheer
 Austral,8c15eaab9d7a2825,ooeeeiun
ia hAust,ed5343e16a2c67c2,awak  N 
ralian N,be9d1bd7d178cc92,w Io mot
ational ,90f7f78cb66c7272,ational 
Universi,05764380be3b34f7,te  t  w
ty ANU C,bb2c5c1183b31c95,o g94aal
anberra ,89a5fcd9f8c9a550,itd70r d
Australi,ea7c6c0222dae3b7,hoo eeo 
a iThe U,b9beac86963b96ec,ie     c
niversit,3981dbf0f0873351,utt rins
y of Wes,35879dbfe3356a9e,syrr dp 
tern Aus,adc6fc5646b36648, cMjerdn
tralia U,b2df910f40032b99,is tauea
WA Perth,b665aa55a0610d4a,ntoaai2 
 Austral,8c15eaab9d7a2825,ooeeeiun
ia Abstr,c1c4bb97b4306c99,atJYtpoa
act Larg,9b056e14b8e60fb1,yshoos t
e Langua,0122ef4069e52ac7, ex aanh
ge Model,90c5ce0a5bf48713,ph  11r 
s LLMs h,8a7b26959257a442,ikie oo 
ave rece,8536907781bc92df,dr a t e
ntly dem,bd89fe0897857f0e,pinss to
onstrate,294cee15ca63a4ee,gttn  m0
d remark,acae67536e97932c, is alae
able cap,b5e1c379d93975d3,ingd act
abilitie,f0edec51f5c65952,nsId pe9
s in nat,2a1376cac38fdeac,hsiae ai
ural lan,f7268fefcf693f34,  oeen  
guage pr,ed2bb0e10cd10ed2,hrrber j
ocessing,d8dad631c9f4ba11,ocessing
 tasks a,221db737c7b2c1a5,  nSivet
nd beyon,81782c43522a96fb,rr cis 7
d This s,46f722357add0aa0,  u  iao
uccess o,b3f74a9ba1a65acd,a cle ne
f LLMs h,8dda345948036f78, ontttec
as led t,884f29afd9229d55,ignoebad
o a larg,cfe13bf90bb3f2e9,rnoak  t
e influx,914142de0a13618e, e iL i 
 of rese,d32b5c3775cc8f3d,cn  rhe 
arch con,ba01ef9f2f11c022,  tae na
tributio,68a8519cc0b973f7,tributio
ns in th,c70e046dce83cc99,ns in th
is direc,7b5318e96503f98b,e6   t K
tion The,2110dfde4af7699c,  ir G r
se works,299a7e710cbcc51f,eeQa5 av
 encompa,e9b3052357ed2b7c, penlee 
ss diver,a3fd52223718ca2c,rkrittha
se topic,43340e858d5964ca,D  he   
s such a,420a23bd69f77cc9, n  o  t
s archit,551a28fa75cd3155,tanncnta
ectural ,9752e67ce26ef790,mer uurp
innovati,0e47ff0b588be300,Saittio 
ons bett,bfb1e0662d2f73ea, nidirs 
er train,bcd79ca50e49f307,er train
ing stra,a14ed2041f95fee8,nr vvgch
tegies c,eda5a5059016fc7e,T 7onenc
ontext l,5f8cdd2139eea3c0, saagspu
ength im,d82416f318adde9e, ieytl m
provemen,7468710cb22c223d,adSgnur 
ts finet,aaf738e1814fe48a,aacteeep
uning mu,3d9c7ff2c4e938f0,alo tr c
ltimodal,e33507d5e53e8415,f  dheri
 LLMs ro,9f649e6d74f8cbe7,nnnll  y
botics d,03994a60beed7270,s nRs sy
atasets ,01a2c4bc247852ab,S 2 2evn
benchmar,576344c61e51ebe7,Wd00t  h
king e f,8e78eaae91391f8d,llly L u
ficiency,49ca6cbd833782a3,pe Vneha
 and mor,c21b20e3a34056c3, and mor
e With t,4c16e8b3e75042af,utitre t
he rapid,74e290f873e84708, OO  mif
 develop,1d436a6d1bceccb5,xoe   ri
ment of ,5d45168ed86aab32, e    lt
techniqu,d8e4a12180d77ceb, as W  d
es and r,cc25698f91b89be2,n ee tra
egular b,5e8b0e76344be365,oin seta
reakthro,8cd4ce6d52ced3c9,rspee  e
ughs in ,85feef8ab4bd3629,hrl io 9
LLM rese,770d340a2fa778c0,asan pon
arch it ,0610b180026a7c33,alo xy t
has beco,edde657af924e630,me teaeh
me consi,b339300866cb582e,paanei e
derably ,1647ca1b7ba2b395,eesv iil
challeng,eee42d925e8207dd,eae ngt 
ing to p,1fa7c17ad6c3d35e,77  y  n
erceive ,54a51e772fcf1947,ndenmkn 
the bigg,2379617df2e325ce,rths  pe
er pictu,721a090f7c389abf,uAee  ri
re of th,13563de5fb66cffa,de ci ta
e advanc,0689e8c049fb1553, npiifs 
es in th,a132980be9ca9f7b,r icaar 
is direc,7b5318e96503f98b,e6   t K
tion Con,9359a397c3bdb56c,h  rr nn
sidering,80414d41d266bc32, nnoo na
 the rap,e091819c82e1a104,r0issiuu
idly eme,5ee2551e6167cd66,i2y g y 
rging pl,c36594eeec8238a5,ue aie  
ethora o,4015d55d7d63b324,ektiiipn
f litera,e3df99498176909d,eleidos 
ture on ,2746c6b4dba1a494,dgg er t
LLMs it ,cb5b80259ec66140,te ren s
is imper,93b1391a430b1f16,raaaddkh
ative th,7b60338dee886a06,ihsnn  K
at the r,1b60bb285dd0d2a9,iiiissos
esearch ,3e3065e1d447305d,esearch 
communit,be6ae097122e95b6,lrrvte06
y is abl,3a1331b68f624f59,aiiitdua
e to ben,7bec2d74e01fc69d, lse sa 
efit fro,97ca7c49219b4993,etalaess
m a conc,c96c64ab3329cbe1,enl  rrl
ise yet ,8490f4b2278f7d0d,rlrr90 s
comprehe,fb0d191f28535474,rernin o
nsive ov,70e1be1e9adf3763,i  oeeri
erview o,690b3b6e45d400a3,etcein v
f the re,394781c0b6389827,a aerr o
cent dev,f4dfaa6c2b2648ff,gol t tr
elopment,1032968a535fe817,elopment
s in thi,4714bfc5d9b8e390, tes iL 
s field ,647307ebfdb9b122,is  ol f
This art,c589c99886e8187e,fng iitt
icle pro,b0ebed283faa83c8,sthwlen 
vides an,98a9d6d60c9d7f52, nseendo
 overvie,109aab81762fd72b,n  eps  
w of the,b914e1beacebd292,dtthrnw 
 existin,74b0b400049660a9,daoecey 
g litera,7c263c626dae7f74,iineifnl
ture on ,2746c6b4dba1a494,dgg er t
a broad ,acfcb7bbc8eabb06,iJ kmit 
range of,5fcda1c6d513f3b7,  Et  pp
 LLMrela,e7f287ac6ee5dcb2,rum WWnn
ted conc,fe867d812ab1dfef, thon or
epts Our,a0c280528f67ebaf, n y  ne
 selfcon,7807e7269c04cfb9,o    ctp
tained c,362d35db18b062b9,oo  t To
omprehen,b0f6f9464302ad7b,ioiipod 
sive ove,02535ac591d4f756,k e gi n
rview of,2d5941fbb057fc9d,erbp2 2 
 LLMs di,518beed9b658871d,4 ene aa
scusses ,97aa3c3bbcd02a5f,  184rfs
relevant,29267a98685b0a61,mit E e 
 backgro,61a8f12e1917cf75, t4e  ai
und conc,a54f29a2f2656197,    dr v
epts alo,ea3d5cb50b982d64,ea airal
ng with ,c5bbbc3bbf0b6159,ng with 
covering,9cb30b2a150b3483,ssg  inn
 the adv,25ddcdf2c64fe438,vue   El
anced to,ee6950485b129324,eu trrrv
pics at ,e9b327d9ba85954e, MtXgi  
the fron,841c2585b68f6b84,loqdn l 
tier of ,21725c1880699bf5,oettt4ol
research,53aa1273193f497e,ne 31enc
 in LLMs,f5f2e751c390fa1e,73p  ntt
 This re,0216a950b3a13095,oA  ddtn
view art,27abcc3885652c3d,tio t t 
icle is ,23b4feb9ed334899, isdirti
intended,f689b4af58612b80, i 9 l0 
 to not ,6811590539137ca3,oaane de
only pro,c2f87f9f5543c5f9,d  oecse
vide a s,39549e19aec89d1d,pbbuul n
ystemati,1d5dd9a67349b242,dueeeti 
c survey,d4a654add8f8d0cb, c ld Cc
 but als,1875bb61f4f4e844,nng na i
o a quic,6e85b9056d1d13af,ioept  i
k compre,188a2515744a59a8,setn mm 
hensive ,54e3d8efdf9916d6,r onweet
referenc,9e53c45a0dd86812,comerrrm
e for th,80ee7a7a886bf401, d 3tEat
e resear,df814cf4d1e4a45e,e Isshm 
chers an,2128ce472eb1408e,  tslol 
d practi,61b7a742696f6518, RRe ttu
tioners ,815e3a78832190be,deeec ei
to draw ,06fee12ef7dadcc9,oc  auss
insights,aa86430c9ca2ea01,h d43o n
 from ex,b90670382e5cf662,toe lto 
tensive ,6d3dfc9a67fe0952,an sqeur
informat,bd3651eba5a72e44, tid  e 
ive summ,5794d521379d4822,  iveio 
aries of,433a11e1e0629938,aries of
 the exi,915e9f671f52855f, de  nuu
sting wo,2ccdb47348a80449, lreg cu
rks to a,4bd93ce5a4ff366f,Nng  ttt
dvance t,720a02f5f7ec92b3,ssTMpnst
he LLM r,b2bb35150b58d2fe, gg dHac
esearch ,3e3065e1d447305d,esearch 
Keywords,11ff7b29dde470af,aa  her 
 Large L,1c4f4c6c102aad97,tg odson
anguage ,bdca9725b833494d,t  gi s 
Models L,de840d7ca9b43ede,mrtha r 
LMs chat,7e4173a3835a7d42,duilidtp
GPT Augm,6c94ec3aec7fe11e, G  onao
ented LL,dd805a2907e1e29e,e  ubmin
Ms Multi,a713c2a61a0f53a7,l wwsioc
modal LL,feda3ac01f98c869,eseinn o
Ms LLM t,a0631abc6f19781d,piontdv 
raining ,e488d96062e3de6f,raining 
LLM Benc,9ea5b3734f47bd70,onrret  
hmarking,9c0056114375152e, t  a yd
 1 Intro,545d90e8b8fa412f,4mioent 
duction ,b12cfad766ff5fbc,duction 
Language,86c6233d41728fd9,Language
 plays a,5ecfb4010c128c14,alr aioe
 fundame,7e2beb590a540cb3, tor  gp
ntal rol,20a7948ca5eb6f55, iid  at
e in fac,d0b4b6b564fec139,iwdtTo s
ilitatin,d4fe62dc99f7918e,eos acl 
g commu ,53ca9c8962ff238f,ttevkrri
nication,12eb0044fb25cb80,   se   
 and sel,b27e47d3c6f8a427,eh reC o
fexpress,672e0bbfbe08f080,sthlesMi
ion for ,0fc41dcfdc3b7e72,iaeewe u
humans a,e06f71f4df9a3cd4,spes iep
nd their,d15bd068eca591a0,110s   i
 interac,00069c4a9148b15f,  2yb re
tion wit,e4bd478f2cc9e865,tion wit
h machin,ea67ba1d66f5cdd1,tii1o 34
es The n,685da7c28f55b9b3,eeGg  in
eed for ,bda2ddd80f019dd2,taooh  d
generali,a075a87e9f61d773,generali
zed mode,88ac59085cef7e67,tMroc u0
ls stems,7b81607df320b8a0,  hhsu o
 from th,9a8cb4f7f974ab6f, from th
e growin,697c4b8c840f46c6,r in he 
g demand,2debe4199e55a748,iiiieaaa
 for mac,e08de27a28b14ea2,u Dnk th
hines to,3cef1896de846744,ttht   a
 handle ,c6c2db484057eb3f,ellsrll 
complex ,9de37e8b23fe222e,nn  Nn d
language,91e2fc26fc699d26,language
 tasks i,5770248a04c5a3ef,ssleprMr
ncluding,7555ae0fca7456f5,sss bfon
 transla,a7f0cc506b1cef51, transla
tion sum,b4ba83b750a0988f,     d  
marizati,75882e1df06b2e46,rto  bal
on infor,daa43d569c923bfb, iacbbn 
mation r,b42fe0175bf02561,reMutihs
e trieva,017a8e7caf9492ed, Je xl i
l conver,121115fbce06adec,coe7  uD
sational,44c3fcfb3891b46f,iblyd  s
 interac,00069c4a9148b15f,  2yb re
