Plaintext,Ciphertext,Predicted Plaintext
aaaaaaaa,61616161fac6571e,aaaaaaaa
bbbbbbbb,62626262803a374e,bbbbbbbb
cccccccc,63636363edbb1a06,cccccccc
dddddddd,64646464925c41ee,dddddddd
eeeeeeee,65656565e564eac5,eeeeeeee
ffffffff,66666666de3f714d,ffffffff
gggggggg,67676767596daec2,gggggggg
hhhhhhhh,686868684b06464f,hhhhhhhh
iiiiiiii,696969695fe57d0b,iiipiiii
jjjjjjjj,6a6a6a6a95f53ba3,jjjjjjjj
kkkkkkkk,6b6b6b6bcd75546b,kkkkkkkk
llllllll,6c6c6c6c125d084c,llllllll
mmmmmmmm,6d6d6d6dc6cdf2b2,mmmmmmmm
nnnnnnnn,6e6e6e6ed6e12f0b,nnnnnnnn
oooooooo,6f6f6f6f20616e04,oooooooo
pppppppp,707070709dcc4b29,pppppppp
qqqqqqqq,71717171c525c4ea,qqqqqqqq
rrrrrrrr,727272729231d385,rrrrrrrr
ssssssss,73737373642551b0,ssssssss
tttttttt,7474747467c3c068,tttttttt
uuuuuuuu,757575753388dde1,uuuuuuuu
vvvvvvvv,7676767682d1d6ac,vvvvvvvv
wwwwwwww,777777775164095c,wwwwwwww
xxxxxxxx,78787878b8393844,ax mxxxx
yyyyyyyy,79797979e4be5c60,yyyyyyyy
zzzzzzzz,7a7a7a7a5fcc162b,zzzzzzzz
00000000,303030302ef5e56a,00000000
11111111,3131313157671af1,11111111
22222222,32323232e5438896,22222222
33333333,333333338076740d,33333333
44444444,34343434c2d67d8a,44444444
55555555,35353535255ecf80,55555555
66666666,3636363674819ad3,66666666
77777777,37373737a2d4b8c0,77777777
88888888,38383838be09929d,88888888
99999999,39393939703f5965,99999999
A Compre,6d7072650b4fa742,sd ompre
hensive ,69766520618edbf7, entive 
Overview,7669657723b6d458,acaeview
 of Larg,4c617267ee668c64,r0r Larg
e Langua,6e67756148f68d8a,rslengua
ge Model,6f64656c1159df0e, e Model
s Humza ,6d7a61200ae33d20,sfoemza 
Naveeda ,65646120f5985189,ctoreda 
Asad Ull,20556c6cd61ac807,iies vll
ah Khana,68616e611ddeae1f,Bn chana
 Shi Qiu,205169757fc802b7,  hn Qiu
b Muhamm,68616d6d5bd0f2f3,ee  hamm
ad Saqib,617169622bf504df,it sabib
cd Saeed,61656564a22e06d9,toyeaeed
 Anwaref,6172656677e4565f,ineharef
 Muhamma,616d6d613ee88f1d,he  amma
d Usmane,6d616e65b754f1e4,eed mane
f Naveed,7665656432b45b3d,n 5iveed
 Akhtarg,746172675255577b, aa targ
i Nick B,636b2042f80def57,howack B
arnesh A,7368204161f14b69,  eush A
jmal Mia,204d6961817c0942,rder Mia
ni aUniv,556e697697a5aa2a,n GaUniv
ersity o,7479206f4a9a4faa,iaxgty o
f Engine,67696e65e8df915a,mseggine
ering an,6720616e7e4c9004,eding an
d Techno,63686e6f37b9699b,i nSchnu
logy UET,20554554f18823c6, ce  EJ 
 Lahore ,6f726520162f1258, egtore 
Pakistan,7374616e992a2adf,g listan
 bThe Ch,6520436836d6c790,n yhe Ch
inese Un,6520556e07cafe31,e oce in
iversity,73697479d7bc84e7, peosity
 of Hong,486f6e679da4b45e,ent Hong
 Kong CU,67204355c08d8638,rning Cs
HK HKSAR,4b53415216080cca,   n S2x
 China c,6e6120638d22ae53,riignn c
Universi,65727369df30c1a1, rapersi
ty of Te,662054656252e460,t  of Te
chnology,6c6f6779f2ea6d5c,ttdalogg
 Sydney ,6e65792040872831,eed ney 
