Plaintext,Ciphertext,Predicted Plaintext
aaaaaaaa,d53b0cb3a478c44d,aaaaaaaa
bbbbbbbb,6a6bf570f1163766,bbbbbbbb
cccccccc,71028796086f6aee,cccccccc
dddddddd,b9d0de3943ff78df,dddddddd
eeeeeeee,2609649f8533c0c2,eeeeeeee
ffffffff,a9cd4a9d073334a1,ffffffff
gggggggg,108cc16cdd1bfa59,gggggggg
hhhhhhhh,b7273938bb3fc99b,hhhhhhhh
iiiiiiii,87ce952dbcbea8c2,rdvvhopr
jjjjjjjj,2a7685de30399f2e,jjjjjjer
kkkkkkkk,193ffa866a08e853,kkkkkkkk
llllllll,ae6b479e8c7e3c89,llllllll
mmmmmmmm,0ee8cafc279965dc,mmmmmmmm
nnnnnnnn,f4f96f82ef0aef11,nnnnnnnn
oooooooo,23dd54b845060342,oooooooo
pppppppp,7ccebd50717073c4,pppppppp
qqqqqqqq,4db9ee06a4ed3aa4,qqqqqqqq
rrrrrrrr,3ef3afe93b5aea1b,rrrrrrrr
ssssssss,97015b4db3635d19,ssssssss
tttttttt,94051d3370ff257e,tttttttt
uuuuuuuu,ba037b4a0e131653,uuuuuuuu
vvvvvvvv,c7a01ec519b7a705,vvvvvvvv
wwwwwwww,df71b15b8cb78033,wwwwwwww
xxxxxxxx,94836664ee88c9a3,est s   
yyyyyyyy,650e40c9ed255ca2,yyyyyyyy
zzzzzzzz,f643e986f9c2d098,zzzzzzzz
00000000,88fd5c4b0304464b,00000000
11111111,5986df6949808d1a,11111111
22222222,3d3219622e39b640,22222222
33333333,280418653cddcaae,33333333
44444444,3039acbcd66d3f19,44444444
55555555,7b0de679d67d7c11,55555555
66666666,85a4631faea7fcf6,66666666
77777777,10c61234ef1a76f4,77777777
88888888,7774a81a8f9ded9a,Stk as88
99999999,38769ef94a8ebd85,99999999
A Compre,4f554760ce36c397,ts2pprut
hensive ,03feb165576c013b,t hdd ow
Overview,da1e114d6e368fed,aoeppdts
 of Larg,a6ef7076754b969c,cyremmlg
e Langua,73857003772a2486,a   mlei
ge Model,3e720a336b73ef3b,oaho  n 
s Humza ,502b780fa38763d0,iist Tee
Naveeda ,68a45983081cc7e2,torf eua
Asad Ull,157590e90a8b2d41,hr e  vi
ah Khana,88a88a5012065668,an tinvt
 Shi Qiu,517967fa8d07fa31,efceleii
b Muhamm,6a9a2c3bd7b5f6eb, f  oy t
ad Saqib,82e19181585cd822,  raes  
cd Saeed,427352e29fb46fa6,hhin ttc
 Anwaref,a724eafeb890808f,tiC le m
 Muhamma,5216c20a4224358c,ipibnide
d Usmane,cb25cd89a4e99b58,i   hdes
f Naveed,64cfa0535b69376e,uenteene
 Akhtarg,f82399e9254a872f,ienng ul
i Nick B,7856559da219c8d8,pttimcye
arnesh A,f09d14c7a34b0510,e pe  yo
jmal Mia,f7c9f3bf18749ba9,nryssioe
ni aUniv,96bd357ff927e037,tgrwlinr
ersity o,a09052859e514fdb,2or s ot
f Engine,edea61a9359a58a5,eiinarai
ering an,c0433948d1d483d6,etiidd l
d Techno,a5935845fefc1de0,ye n he 
logy UET,5c83600a49a9378b,ryero  u
 Lahore ,978dfa71a12a787d,sAss r a
Pakistan,9cfedf248182c446, iae bad
 bThe Ch,aef763e936839f1d,ioumeffT
inese Un,9e10ef44a864e698,titkppOd
iversity,c9ab6ded1aa6f63d,tttIiiod
 of Hong,d19cad5e0710d07b,ss tenng
 Kong CU,9c14227b72c00c2f,nndruttt
HK HKSAR,3e0f366e1743615f,ee ontoc
 China c,369bbeba43455443, rnrsnai
Universi,8b5d9ade0fbf0bb7,nsntheeh
ty of Te,742d2f0c4dd46d49, eeaV ie
chnology,b5a1d822b5eb2235,iian inh
 Sydney ,5dcc33956c6b3aac,s  ctmmn
UTS Sydn,071634176ff3e3ae,arerl oo
ey Austr,3c26ece98732f3f8,t1nneddr
alia dCo,574be4271babc56d,eor 2htn
mmonweal,cea0c284aae4edb5,ieu  aii
th Scien,8c1e834c2e81d1ba,E  efcs 
tific an,7f2bc72cf2be9327,ote lLe 
d Indust,e14fbe6864a21e7b, neeef m
rial Res,d8fd033e97324517, 3  Wffu
earch Or,fb7b2c00b4e6e351, eeettts
ganisati,3f500fd5e6df7bb8,hnn etel
on CSIRO,d8d698fe34654e8c,ttifue w
 Sydney ,5dcc33956c6b3aac,s  ctmmn
Australi,920e15964424dcb5,o eereeW
a eKing ,4e888dae12c4961a,n eap ln
Fahd Uni,49c81325f8909e69,pneuKs e
versity ,f861463dcf2ba77b,ls era  
of Petro,9f41ba93c546e161,    tu l
leum and,60bddbf27daf944c,eeei555e
 Mineral,1819347d83d6b599, nli    
s KFUPM ,9929922dadcde744,isor ite
Dhahran ,419e0f7a6a49598c,a t hher
Saudi Ar,d6c92a1ed10656a8,9l R  se
abia fSD,f17c0f659d409cee,altns al
AIAKFUPM,9db26615bf233a52,dcmenttl
 Joint R,8d4dc01b3d34f655,c S hhce
esearch ,b5edbd14292aaefe,esearch 
Center f,6b6478961f025cd9,tmmtieg 
or Artif,184dc8ca761b797f, eimllor
icial In,b4e92c9d5475451d,A  abura
telligen,d97cecb6b3adde67,  dtn og
ce JRCAI,134d76589bb6864e, o  ee t
 Dhahran,475f1690e3f4d138,e  8tts 
 Saudi A,f042220afbba8c8c,all o   
rabia gT,f179a10a0789d8d0,ta   eep
he Unive,3b5c4f370635cd55,rr nrar 
rsity of,e131b66a8752ed50,   orrrc
 Melbour,47292a2ff0885a62,00  memS
ne UoM M,4691475c86e0f75c,roe cuol
elbourne,d30cb454c6e8b8e9,nrret ro
 Austral,f9a49a92408d10d2,uabe ell
ia hAust,ef053c4b3577f785,htrroiis
ralian N,cf0650b4cca167e0,tiuta io
ational ,6b01583b89db4e5e,ational 
Universi,8b5d9ade0fbf0bb7,nsntheeh
ty ANU C,93aea1b170b5c0c1,ftain w 
anberra ,ec617b740f94650e,rnnat sn
Australi,920e15964424dcb5,o eereeW
a iThe U,eb0f2adf249210c0,aarse ow
niversit,04424e58000aacd6,t ae  e 
y of Wes,625f2dbaab6c5f0d,ssste ee
tern Aus,d2ee545e1190a79c,ltttee m
tralia U,2cba26f48adecb15,dded  ae
WA Perth,fe91d804f35164d1,PP ddsoo
 Austral,f9a49a92408d10d2,uabe ell
ia Abstr,6e5ac88a437111d3,   tnneh
act Larg,4826327d0be294d1,eemtls A
e Langua,73857003772a2486,a   mlei
ge Model,3e720a336b73ef3b,oaho  n 
s LLMs h,7497f4e86f89270d,98een  t
ave rece,2f91fa8c28575da4,saae leq
ntly dem,3eeb1d62e6e3760a, trseesw
onstrate,f876a41ee832dfac, oa   t 
d remark,5b25ee5f6383820b, sEciceo
able cap,b68df28f4eae4dc3, a en  9
abilitie,35cec178b9adcc0c,tiotttat
s in nat,4f206bf160908c7f,oeca4Xm 
ural lan,a050faed7a4f0fc0,aesscaaa
guage pr,24c637c93d40e7ee,ssssrnat
ocessing,a9156157a812d222,ocessing
 tasks a,301f6e035acf7e73,i atsinn
nd beyon,07a798fff5af6011,dr ihn e
d This s,3057b8cc8feb1a2e,eo0 0fuo
uccess o,8d6f356a7d31631a,toe a i 
f LLMs h,e97989b04bd5ccca, ooo 5e 
as led t,04663e62edb42269,e1J g   
o a larg,a6f28071d2dc413c, vssedtt
e influx,ddccefd6c21c191b, vrmh8at
 of rese,51e465e74aa72fdc,emmde mo
arch con,1abbc2f053c690f8,scnnop r
tributio,3a7f7f5c88314bd8,tributio
ns in th,c204268b640a82a2,ns in th
is direc,d1b127347620e1df, vndno u
tion The,3b438db4897a994c,de gMaBd
se works,df2afe6a4918fe91,   de1ee
 encompa,629701e7fabee40a,igtis   
ss diver,2e6f21a7dff334b5,itt c or
se topic,64347864d8f8279c,n euth  
s such a,0bc4f1dc3c39d6f5, itamye 
s archit,4845ff954c4496f6,k priite
ectural ,d5207b330f47fe77,ouetrepe
innovati,88925bd5a4885c13,nk tse c
ons bett,7a1d4568ab260936,pon iee2
er train,f0ac9c2f1f958640,er train
ing stra,96f07aa22bffc35d, T01e  t
tegies c,6061cbc082ea9384,ee     o
ontext l,e39fd0a1f358a626,rnes Gs 
ength im,8ddc45258833ff83,pmnh   n
provemen,e06d9c66725ef385,l kuuud 
ts finet,9680c4d6b0a2dc34,y ot  hh
uning mu,10d114bc625edd1e,sorr u  
ltimodal,37122971de2d5582,d  nov t
 LLMs ro,6cc114f79c44e7ad,riiedpto
botics d,465a46b22a4dbe5c,gggero  
atasets ,bed1c144acb5b5c7,o  oo st
benchmar,ca690e27267ffafb,tteahtte
king e f,0ceb497fa9835c68,yer oeda
ficiency,a101d366b0afa343,fo teee 
 and mor,f9dd5a60427ad4ca, and mor
e With t,f2419d8a03ec625b,btdSeeC 
he rapid,a590148e57e85c6e,6iadinrr
 develop,be4a317cdf8fdc20,  iim ar
ment of ,322fcdfba67300c8,e b5r   
techniqu,c16154de3c7a782a,nnwiue t
es and r,d9b08710c868d2d8,e  fodrt
egular b,fce9557252bd797f, err1 aa
reakthro,8865d82e5ccfbb72,o03  Mar
ughs in ,acf0e6912b12a45c,hkrmssln
LLM rese,1bfc82c66a992f06,l er c e
arch it ,816887f194f6b08b,I00erl G
has beco,b36e24ec4acbf347,riurscee
