Plaintext,Ciphertext,Predicted Plaintext
aaaaaaaa,fa3fb922a36490a6,aaaaaaaa
bbbbbbbb,793d403e72db1541,bbbbbbbb
cccccccc,27dc7dbe21d2d89a,cccccccc
dddddddd,f9a63c3a953b7852,dddddddd
eeeeeeee,fb6ac8b48612afb2,eeeeeeee
ffffffff,47581506d0c3a5eb,ffffffff
gggggggg,01a4966b5b988cec,gggggggg
hhhhhhhh,5f296bc3cf3ca5cf,hhhhhhhh
iiiiiiii,12b6717083ffab0a,g 5frruo
jjjjjjjj,1131ce6173990b2f,jjjjjjjj
kkkkkkkk,9b9768c560b09a5d,kkkkkkkk
llllllll,1c7746f77bad8885,llllllll
mmmmmmmm,e7125d51c5fdf6da,mmmmmmmm
nnnnnnnn,1475136936d6336c,nnnnnnnn
oooooooo,135bd703b797a00b,oooooooo
pppppppp,dce53cdd4a39ffa8,pppppppp
qqqqqqqq,b3b3a1b53ef36511,snqqqqqq
rrrrrrrr,b22790658e213fd3,rrrrrrrr
ssssssss,684700ae22f9ffa4,ssssssss
tttttttt,0815180dbfa86ff3,tttttttt
uuuuuuuu,a6443eb2bbe9ad4b,uuuuuuuu
vvvvvvvv,f128d81d67585831,vvvvvvvv
wwwwwwww,aee1b30fc80ce2e8,wwwwwwww
xxxxxxxx,7a751701816f4c8b,uueiophY
yyyyyyyy,9574b1ad64f17404,yyyyyyyy
zzzzzzzz,9a5bf9486dde68ae,zzzzzzzz
00000000,07b1337c007fbd01,00000000
11111111,ef1ef285fa192b60,11111111
22222222,213a9df9299b033a,22222222
33333333,4b4d2285452e01f6, d333333
44444444,b46c950c41d1f977,44444444
55555555,ee4535102c1971e2,55555555
66666666,9c4f10f80876631e,66666666
77777777,837bfbfb9c2c15fc,77777777
88888888,1103ee826500a856,88888888
99999999,6f1252b8d9662d39,99999999
A Compre,a8c6db1615ca8b9b,ti at an
hensive ,50a6fc3629c3bb2b,uacTiit 
Overview,b9dbeff5a50e881c,rry irn5
 of Larg,c0fb59f5694b679b,envisea 
e Langua,30a381124a0625e8,ia r1trr
ge Model,9e35605681f0ae09,etJin ta
s Humza ,5462f0fadc17195d,eiiaiisp
Naveeda ,9b19c1af62e4becf,ee nltto
Asad Ull,922e9460c54f0002,ls uov  
ah Khana,8a89bcc687febd24,et hherp
 Shi Qiu,23de65373f6bcd1e,  ii  ua
b Muhamm,67f956e6d96a1a38,re teret
ad Saqib,e040637cc5209cbf,rt  auer
cd Saeed,ae48ad8d6628e649,v merdnn
 Anwaref,13956a040ba5b86c,  ee5 33
 Muhamma,15d7a04b957672ae, o I  d 
d Usmane,aab11b4e1a80c030,n   osle
f Naveed,92c5898fc8b1d445,IieVriae
 Akhtarg,6b7ee3b0f985f5f7,eeoos te
i Nick B,de9301a9577e71a5,e iok w 
arnesh A,066c77324f70d69e, lihthy 
jmal Mia,b9ecc9f033fa98b9,t  sg   
