Plaintext,Ciphertext,Predicted Plaintext
aaaaaaaa,2406be064cae7580,aaaaaaaa
bbbbbbbb,f970460e6e08be35,bbbbbbbb
cccccccc,629c2adf18d14aec,cccccccc
dddddddd,d8df37925a8604ad,dddddddd
eeeeeeee,80023c51990b8922,eeeeeeee
ffffffff,ea5f02032921f4d8,ffffffff
gggggggg,2b4fb07716e6dfd9,gggggggg
hhhhhhhh,22d78624355b58e6,hhhhhhhh
iiiiiiii,74eb742b1199ea1d,retlaabe
jjjjjjjj,be6f02a616439d1c,jjjjjjjj
kkkkkkkk,090e73254ca620dd,kkkkkkkk
llllllll,af731fdf3ac0640f,llllllll
mmmmmmmm,b1beaeb85d2253bb,mmmmmmmm
nnnnnnnn,f9f6e773e3919988,nnnnnnnn
oooooooo,5f3378aae0a1c42b,oooooooo
pppppppp,190b65fab2feb96b,pppppppt
qqqqqqqq,01a977c843a5c653,qqqqqqqq
rrrrrrrr,3bfa9c3cca709432,rrrrrrrr
ssssssss,779d75db422228b9,ssssssss
tttttttt,16047c8770b9bf3e,tttttttt
uuuuuuuu,faa118dcd7ad3469,uuuuuuuu
vvvvvvvv,cd4d8375520af10f,vvvvvvvv
wwwwwwww,86c8d80f1d9d6e34,wwwwwwww
xxxxxxxx,bcb3fa49805a189d,etiii oo
yyyyyyyy,8ccaf1515ad65c2b,yyyyyyyy
zzzzzzzz,7d9012e1063733a5,zzzzzzza
00000000,be3ced9982e4c9be,00000000
11111111,1785a9f35442817c,11111111
22222222,ddb16566c41b83cb,22222222
33333333,a6e402e37aa55c27,33333333
44444444,d5565e4cd164f64a,44444444
55555555,5faf57aece76a4ae,55555555
66666666,c6888ebe362744af,66666666
77777777,1ef118694a1c9b94,77777777
88888888,dfee5ecea11328ed,88888888
99999999,4bf92a492a9ce56b,999eis9 
A Compre,457799c1b703cb55,nlsniies
hensive ,1c0a9de9b254ecc7,ahesinnn
Overview,96a8812126b57d2f,4  srece
 of Larg,0c12894ec69d84c0,aat  a  
e Langua,87cb79fd55222e22,rhNe eae
ge Model,aa913f89034a585e,ia   isr
s Humza ,76ee0bfc1e42581c,oo  nr t
Naveeda ,64c63352ae81d924,c cnn tt
Asad Ull,b1b1254088081298,inn  f 0
ah Khana,b313e4dbd6492226,oeeeooee
 Shi Qiu,143b2b7c8049b2fb, arr ths
b Muhamm,c1704a47ec530cb7, daaupus
ad Saqib,32bbfeddae6c0fbb,  5n twc
cd Saeed,ea69b4a5484d632a, oeercpc
 Anwaref,3f3906b6c3e8662e,ll Kn6e 
 Muhamma,597c37f24ca7a640,eellnned
d Usmane,ec64eb6fe93e33c2,omaooree
f Naveed,5117166e8014c6a2, 0  pddi
 Akhtarg,9b4c08cdf3780762,ertnsl d
i Nick B,e7183d5cc9cca12b,so 3rwo 
arnesh A,f079b00c176f7cf0, r ann  
jmal Mia,a6eae28ce0acd9cc, niti fe
ni aUniv,1126d5c417321ac0,nheb1ess
ersity o,b81e6536ade15e0f,h inils 
f Engine,b45f0e5ed6c94f60,t  tpn  
ering an,20ca6b788b106f28,e dn m2e
d Techno,5201c14914807c95,  e3e  i
logy UET,fafa976384615dca, ag  our
 Lahore ,844d71e28cf7fcb8,ntiinsle
Pakistan,00a54c5257ce5958, e58eec 
 bThe Ch,8247f1b1de4737c7,ira iodr
inese Un,68e949fb1350f285, rttt ec
iversity,0bef3e0574bfaf38,etinnt  
 of Hong,4331ab517bf86538,yl  nss 
 Kong CU,e3dd04b10b077251,eay iy o
HK HKSAR,579658dbe94eff89,o relnn 
 China c,d172ff362f7a9daa,iea sbeu
Universi,664e205c30ce4a94,a  cr te
ty of Te,7dc105953396c113, uhtettn
chnology,f2df4a703b45ed40,ouidaueS
 Sydney ,add622d4cb2284e9,nnenu uu
UTS Sydn,deb306e49c49b58d, eeeer a
ey Austr,52f213dedc54d328,oe 00G L
alia dCo,108cf192d15adff2, oomt  u
mmonweal,ac5c119871fb15d3,kr   o t
th Scien,9914a758eb22426e,irig  66
tific an,112ddf9a41151d43,eiithe i
d Indust,5c88704cb088b66c,asnrromi
rial Res,000b865a90196dc3,  dom0Go
earch Or,5e5876fb36082725,  oc  Oo
ganisati,9d05ad50135fb9a2,uhtee d 
on CSIRO,734bb34d9c818f89,esttr mY
 Sydney ,add622d4cb2284e9,nnenu uu
Australi,c217a3e3af66b3f8,ec hhaoi
a eKing ,96bd273929112268,ettri8en
Fahd Uni,0988d87598ef92df, sra tve
versity ,e4c8908828d5c233,aP  eeee
of Petro,2de3b2785c21ddad,te aooot
leum and,6849c562fa736ec3,hohgiiis
 Mineral,1ac84aaee80e8d7d, ts Kll4
s KFUPM ,68f1fb41c6e5e983,o ton  m
Dhahran ,dcfc3376a9cb6deb,ldiosdh 
Saudi Ar,2b4343daff3dee4d,      ie
abia fSD,2e9e07322a0026c9,eecprteo
AIAKFUPM,cb90c3a854568a02,ieimaree
 Joint R,86d688cae32dedb0,d  ipmeo
esearch ,624cdd75f611e4d4,esearch 
Center f,52002e5bda37313e,innecxiu
or Artif,549e4b767d8b4b36,ac s epd
icial In,7e068dc79c13497f,uWerssst
telligen,47ef063384a4ac70,ttmw  n 
ce JRCAI,32f12ca14ce07c1c,t t eeee
 Dhahran,30e8df272185b8fd,ta 6le1t
 Saudi A,c87545d96a5ce909,rassin  
rabia gT,4af52ba8b339ccf2,e Qeaas 
he Unive,9e1d45c2a5ecb598,hio   nc
rsity of,4dc416ff0c7bf023,anaIiind
 Melbour,361d3bc53af9f529,tgruergg
ne UoM M,bdac3a4d5cacd464,me evetf
elbourne,1e4378338837cb0a, nnscekr
 Austral,0e1eda286fcaaaff,  s asu 
ia hAust,99a6006bd8a94721,riiio sX
ralian N,6780e40bdfb833a5,1eidh il
ational ,53ef586da389fbda,ational 
Universi,664e205c30ce4a94,a  cr te
ty ANU C,48a8a1bee9391ee1,staalnee
anberra ,ba4e19019ac4716d,i  e lF 
Australi,c217a3e3af66b3f8,ec hhaoi
a iThe U,9d7ae0424c3a2b24,crtttirr
niversit,2bf80d28fc96d0dc,ttcone c
y of Wes,d8cae7ea0a59db1b,stptniaf
tern Aus,f06120521abb06bb,   tOx m
tralia U,acb0a35b3ac6bd26,hee iee 
WA Perth,444faad81e52ff3a,ndg rahb
 Austral,0e1eda286fcaaaff,  s asu 
ia Abstr,d0228bcce3faae25,eessmeOh
act Larg,a8be2733d698ff39,o xre i 
e Langua,87cb79fd55222e22,rhNe eae
ge Model,aa913f89034a585e,ia   isr
s LLMs h,3e5719d032d47c52,roncB ut
ave rece,5dd7b86df4e92950,el  aare
ntly dem,f80827abc5e242cd,ttaa d8 
onstrate,452b81f61a113461,nwoeela 
d remark,0378d80544826433,in parr 
able cap,f05b4e291e31dbff,astilisa
abilitie,048624b19d0e7d6a,yhhsui  
s in nat,89cad0f55f5ab6d1,o    e m
ural lan,9ffdbbdb5e02624c,icpedpnf
guage pr,90e5be5397aca641,pi0nieF 
ocessing,bbd91bec9a21c725,ocessing
 tasks a,0926362537794549,sser  se
nd beyon,e20dccbf0767e632,ee t  Cc
d This s,94ec85223e793fa3,ofNWiant
uccess o,6cbdfc293dc0e94e,n tevm l
f LLMs h,41e605d48e245964,alno  r 
as led t,d4942e309c9a69b5,tde  ere
o a larg,1b459a43a509addd,oah 9ns 
e influx,c25d232b7e85ffc9,te   oet
 of rese,2d8d2dc023edba10,astitwpf
arch con,09a8bc2a98c3b1d3,  th  ua
tributio,527c35010a6b8853,tributio
ns in th,101ad51bfe688196,ns in th
is direc,8e684505d2f6c289, tnnnd e
tion The,ce07a3fb97d27c54,mahesmmm
se works,c3f946dfba93a47e,i itamte
 encompa,4e15ede3eba2513f,   tei  
ss diver,e1638e4c89f3301f,ttOntsoi
se topic,d66514c42822ac75,n   dd e
s such a,0ac1b10fd3973699,t eeeeca
s archit,562be96d8e3e1386,tJsoo  d
ectural ,5305538b93f1be80,vi  ooap
innovati,f6011f9a95a79761,ee h it 
ons bett,c09cbcb0242aa949,a  rnde 
er train,cddb483da681e5f2,er train
ing stra,83d223b86778b9a5,ksd o Oa
tegies c,19b5edd11e679971,ggatsU i
