Plaintext,Ciphertext,Predicted Plaintext
aaaaaaaa,7f6ea74c8585a225,aaaaaaaa
bbbbbbbb,9f3d9aca38c7ccc9,bbbbbbbb
cccccccc,d04b824a7db8b97d,cccccccc
dddddddd,2019520237520ba5,dddddddd
eeeeeeee,e90bea9f80b6c388,eeeeeeee
ffffffff,2a2bef122474afe2,ffffffff
gggggggg,2102777de985db08,gggggggg
hhhhhhhh,6fa2ff31ee3066c5,hhhhhhhh
iiiiiiii,9dd4505f40636731,ater4 F5
jjjjjjjj,835ff282540b27eb,jjjjjjjj
kkkkkkkk,5f2f91385c372cff,kkkkkkkk
llllllll,7da6c8b7e0d88106,llllllll
mmmmmmmm,44a0292170f0a474,mmmmmmmm
nnnnnnnn,fcd825d64cd4331a,nnnnnnnn
oooooooo,6764d1219c12bd97,oooooooo
pppppppp,d093ae64be670aa0,pppppppp
qqqqqqqq,730afee689bf7b79,qqqqqqqq
rrrrrrrr,0c0497344b0f0452,rrrrrrrr
ssssssss,3a989fb931905865,ssssssss
tttttttt,e686af22bed6ddeb,tttttttt
uuuuuuuu,4fbab27283dc4644,uuuuuuuu
vvvvvvvv,2914d0747c90c68d,vvvvvvvv
wwwwwwww,3bb400343f1c9c23,wwwwwwww
xxxxxxxx,63f074557ecde970, P e0o  
yyyyyyyy,442363db674850e3,yyyyyyyy
zzzzzzzz,c9ff1910737f8fe1,zzzzzzzz
00000000,796c798a86a304b0,00000000
11111111,b059a67b0860d9a3,11111111
22222222,215115b1e253d0ca,22222222
33333333,d007f2fa1f381101,33333333
44444444,f75473317be77229,44444444
55555555,1ce5728d63646797,55555555
66666666,b76209fca9780f7e,66666666
77777777,c0e47e3572598a22,77777777
88888888,aca72680b609aee9,88888888
99999999,e76fc83c96247f61,99999999
A Compre,9f9dea34c0debc1c,ebmasae1
hensive ,d83c794ad1f53edc,nslltkix
Overview,6c7dac84163a2b4a,icuig te
 of Larg,4bd05119f6b2b7f8,nceas si
e Langua,048fb31592bcedf8,  tw tee
ge Model,35f1c4441cc046a3,ut1rrm  
s Humza ,006025d210d2222e,i r aerr
Naveeda ,b77788b8e011a9e0,desl  es
Asad Ull,508c2c3e6dcf442a, enggofe
ah Khana,185797cb7b5c1af0,aareesdu
 Shi Qiu,29647bf958cdd28c,gtsthGca
b Muhamm,41a6605da1300db6,tm  Risi
ad Saqib,cdfd427da3fc6ecb, uaiercr
cd Saeed,283bb532aa3a77aa, x oiiat
 Anwaref,46b676952e2c136e,inss  uc
 Muhamma,4845f80f0ef9c08b,n seftin
d Usmane,1b60f799c3f98914,n  aecod
f Naveed,6efff8a2c8eb2e7a,eeddtasa
 Akhtarg,a6a05e0bb176d9eb,ldddnlcc
i Nick B,eea3b25dde41ecb9,ttterla 
arnesh A,4792d609bdcb45a5,riinddet
jmal Mia,25cdab7eeeb0477e,kh ao in
ni aUniv,68e18ce60d32e94b,orrarrrr
ersity o,d8902511e50dd066, 2  2ee 
f Engine,cd1240c49746e24b,ia x fhe
ering an,33946919a1a1d564,ti  oltt
d Techno,627ae854f56d939e,t viieie
logy UET,883a7296d1ec2039,dIt pllr
 Lahore ,d044281d4dd7c44f,sn  a3 s
Pakistan,befef8d67c98e0e6,d ioorix
 bThe Ch,72dccacf233d53cc,tiio Eod
inese Un,7e59ce9b29ed5fb2,haaord  
iversity,507c746b26cae893,teettsue
 of Hong,0689dbc32076c4ba,rraetee 
 Kong CU,8ccb199af38b7238,sd na ld
