Plaintext,Ciphertext,Predicted Plaintext
aaaaaaaa,eab8732fd8b9891a,aaaaaaaa
bbbbbbbb,59ee5efd94b80412,bbbbbbbb
cccccccc,9dfe8cb9ae18c022,cccccccc
dddddddd,c2c9ebf47f499fd3,dddddddd
eeeeeeee,73966495a2a9493f,eeeeeeee
ffffffff,bb88bdf0c9afd59d,ffffffff
gggggggg,befa9345498d256d,gggggggg
hhhhhhhh,0545557d06580008,hhhhhhhh
iiiiiiii,c10831a9e8954dc2,s  ing  
jjjjjjjj,d576a9c4efdbdb8f,aajjjjjj
kkkkkkkk,7f1f552a9df0ea92,kkkkkkkk
llllllll,74587c13b2eb557c,llllllll
mmmmmmmm,09fdd4168c5c6c59,mmmmmmmm
nnnnnnnn,72afcf91f215b6f2,nnnnnnnn
oooooooo,e46f5391d57fbac5,oooooooo
pppppppp,7a38ad08c530e500,pppppppp
qqqqqqqq,543fc0353e72e220,qqqqqqqq
rrrrrrrr,31adbf3e9eb4dce6,rrrrrrrr
ssssssss,04ff9035df6cc475,ssssssss
tttttttt,1e0df7737054dd08,tttttttt
uuuuuuuu,c8c683a7d7531cd4,uuuuuuuu
vvvvvvvv,febb54ec3d8da9ec,vvvvvvvv
wwwwwwww,274c86678fbf66ed,wwwwwwww
xxxxxxxx,97922b4f548b9ba5,na ean n
yyyyyyyy,84ade8a989daba0c,yyyyyyyy
zzzzzzzz,e61a519e9968b55c,zzzzzzzz
00000000,caf18f1c624a7750,00000000
11111111,c0914447726188c5,11111111
22222222,aab3f8db43101d4e,22222222
33333333,825989948cbedfac,3333oknn
44444444,b4a2d759157f771d,44444444
55555555,24c4693d9f24013f,55555555
66666666,e75f337b0b123504,66666666
77777777,9c1d3fc196a84154,77777777
88888888,799990d7fb5cb02c,88888888
99999999,7b13155a55965370,99999999
A Compre,dc026e0f0ca3456e,aaate ee
hensive ,cfee225c1186f703,maSs stn
Overview,893e7aabb849285b,aw2sea a
 of Larg,129328679196a87e, a spel 
e Langua,3aaee1cd9242a954,izodgdn 
ge Model,dd6f6f08286a7a76,ecco d 6
s Humza ,eb3eee108cfaff3d,onn ise 
Naveeda ,513621208fddc4ec,i  nnsoa
Asad Ull,12819f51b8a8483b,os iei e
ah Khana,636e4383b1fd3644,   eues 
 Shi Qiu,393bd70a33d7f196,dnr  iie
b Muhamm,1986e858cf2abb79,eiiki a 
ad Saqib,f353c712aa49a4a1,a sed  s
cd Saeed,3944045b079b0576,kn a asr
 Anwaref,2b01365686eef777,usuuarr 
 Muhamma,558930c321d797e2,ep   olt
d Usmane,2cbe42740ccef11e,eeeenutr
f Naveed,330c7102758c4f82, eprmels
 Akhtarg,4e5920c6217142db,y    uti
i Nick B,5b70d1bbcc8d54ef,o thL  i
arnesh A,42d72d7e61b2712d, ivsE   
jmal Mia,d5327973028b7ab3,a4 ntri 
ni aUniv,2291fd1cf9bc5ceb,t re l n
ersity o,5ace5200bd90a439,ienvdayi
f Engine,e6e266de7f9f8c82,e meeggt
ering an,dd7bef17dba7febd,endhiiit
d Techno,8b9fdc6cd735451a,iia  eei
logy UET,d5713b90178fd237,ctisrn  
 Lahore ,e0b1ab8c239c8d34,tt sti a
Pakistan,83133750352f49ea,rrh mf  
 bThe Ch,7b13d6d1fbc3e0ab,eginraue
inese Un,cfddf3944c683af9,ier  rlR
iversity,02b8c37b866709e6,ly  id t
 of Hong,231db48a8a004ed4,nee c  n
 Kong CU,f246cd73cc2b4792, unp dri
HK HKSAR,d8fcbd9064db3292,iaky  ia
 China c,14580ba04404fd84,on  eer7
Universi,158d1d6043371e1e,1r  132a
ty of Te,ae4b8bd706b549cf,s  op si
chnology,c382d1f0ddcf4a92,tttttiaa
 Sydney ,2f9dc2b82f99e02e,rrIcdein
UTS Sydn,2d4aa5c1e677b419,aennee r
ey Austr,5f8edc4d953c6d06,  ssnten
alia dCo,f5254256df9c3a45,KeessC L
mmonweal,bfe9a176c9fd5af5,   pof e
th Scien,9f50f528d1f8de4e,alne eee
tific an,b434dd27d99a30b9,lan o un
