Plaintext,Ciphertext,Predicted Plaintext
aaaaaaaa,86b242e9a417535a,aaaaaaaa
bbbbbbbb,2a1a728c003aca70,bbbbbbbb
cccccccc,d45bcaf85b72d925,cccccccc
dddddddd,cf1017edce41f49f,dddddddd
eeeeeeee,d8a5c88bfecdb080,eeeeeeee
ffffffff,8ef97ece86ce86c7,ffffffff
gggggggg,4032d57cfbc169ba,gggggggg
hhhhhhhh,ebc9b663ebd946ce,hhhhhhhh
iiiiiiii,a3e525884154845f,e aaed  
jjjjjjjj,b65a5f2c2d18237d,tjjjjjjj
kkkkkkkk,f65f94f37fdf2f03,kkkkkkkk
llllllll,b87a22c653c7f2b4,llllllll
mmmmmmmm,1c16b5413849e3f9,mmmmmmmm
nnnnnnnn,12822a3ddb726ecd,nnnnnnnn
oooooooo,66357eff1c831fa3,oooooooo
pppppppp,250991a659894f05,pppppppp
qqqqqqqq,bc80b05b7d0e5435,qqqqqqqq
rrrrrrrr,b40211a779874dde,rrrrrrrr
ssssssss,5f1453a389747888,ssssssss
tttttttt,d79866600a69dae2,tttttttt
uuuuuuuu,6bff5d251952d0c0,uuuuuuuu
vvvvvvvv,1a28edd534f14603,vvvvvvvv
wwwwwwww,8eb0229447761788,wwwwwwww
xxxxxxxx,6368f6b6ee86612e,eas  u  
yyyyyyyy,a33a75baf9415e43,yyyyyyyy
zzzzzzzz,41b59408ead5c2b1,zzzzzzzz
00000000,6e87ef0bfd62a5e8,00000000
11111111,acf4cab6fccb3a8b,11111111
22222222,e3f7619a2bb52c2f,22222222
33333333,d2c31d57640458b3,33333333
44444444,4a644306fe9c0eeb,44444444
55555555,66773528bed6cbe4,55555555
66666666,d794d04e7aeefcb1,66666666
77777777,1892a0b0010c8352,77777777
88888888,adc27dd94a1c6a8b,88888888
99999999,5c98cef9c1351c8c,99999999
A Compre,f79526da2557564a,roon  hn
hensive ,28bb31daf65274fd,i ore se
Overview,1a92c2dc22a267f3,uuim  be
 of Larg,b01e5b11177bb81f,w f eree
e Langua,47226240441c3fb9,edele  s
ge Model,c5dc4810c7739f22,e   retr
s Humza ,968ef4e57465848e,ttblt s 
Naveeda ,0175e7d617854ac4,nno  tte
Asad Ull,300864825564d7f8,rn  e  o
ah Khana,abbdf1b74f615a3c,uazttr  
 Shi Qiu,a0d2e7a22edcefdc,actendii
b Muhamm,1a7b8bd81273dac4,ofggnvEd
ad Saqib,202723cc19b4d1d4,mrrrnsue
cd Saeed,fb0831db6e96546e, eo kasi
 Anwaref,ab33c72a2e6c8fed,ss hlarr
 Muhamma,7512b7d26d59ce61,f Ved  0
d Usmane,83fa1f3a517e0243,sze  is 
f Naveed,a32261ee5048bab5,yytkkeel
 Akhtarg,ae9371ddf535d9f3,tfeomsii
i Nick B,b7385e184d3439ea,tees eap
arnesh A,0d66c913d1dfc8e9,reen gi 
jmal Mia,1fd44dcb406b65ac,roimmae 
ni aUniv,b480c1edeb0b3ba6,suybo  k
ersity o,338f10d2365d1d32,   otb  
f Engine,f4930a8f76e95272,  ntrsu 
ering an,1e452e32bc6f5352,iiiiv de
d Techno,a1cab06331ab4b97,  wr d e
logy UET,a815b7efd4e30a83, ese mm 
 Lahore ,1affb2aab240848e,soa  lll
Pakistan,4d945b058a732d3e,81 g oP 
 bThe Ch,d3009fd8f55eaf4a, 0 ll rc
inese Un,4cd8d5274c56ecbf,ea atuns
iversity,69dad8cbcdb0c52a,uutte mv
 of Hong,04c87b38f4366231,haan  hd
 Kong CU,039f8f2665452d4d,nn   ing
HK HKSAR,45f2a548c77518c3,msregubd
 China c,4dab37ea3ca4fb8c,ccn deFr
Universi,2d248c4837a2cb8c,euseeati
ty of Te,c991ebb51f6b6537,eooii  s
chnology,2e162b308fb38c3b,ccFaeeet
 Sydney ,dfb278020f27ca31, aada ep
UTS Sydn,9eccac7cdc01ee2f, peerhe 
ey Austr,dc507d2ab5e8c912,nan oow 
alia dCo,55287182364da2e7,e taanr 
mmonweal,1aa39d1dac6bef1d,d odd  a
th Scien,a12ac95bf0eca687,odrIoerl
tific an,4e15ac816bfdf363,sio tlsn
d Indust,98e6ee668f9203ca,eindmote
rial Res,da3ca8b9d668c44f,glsnrtt 
earch Or,74f0daebfd7c6c8d,voaas nh
ganisati,a99e4154cbf01655, Ie1ln  
on CSIRO,75198bfeafd6093b,haleenli
 Sydney ,dfb278020f27ca31, aada ep
Australi,2d087e304f81daf1,tss2 iid
a eKing ,91198d7ca3bbb617,  nol  o
Fahd Uni,da2f085b2bb1c67b, abnsn i
versity ,be78f6992349dde7,eatvonnt
of Petro,862ad5db2fb9e5a8,iee bnnn
leum and,f824bea928d7a311,suenssng
 Mineral,2b9efc6d1b49520f,io  lohe
s KFUPM ,dcf4014da8654902,   Tl aa
Dhahran ,3157dab27962a1e1,  h5shht
Saudi Ar,5c4a67abc5094d69,4dh   al
