Plaintext,Ciphertext
aaaaaaaa,67d8ec1a0148bc6e
bbbbbbbb,67f4d7d9bf3c0413
cccccccc,e197d66dd5273ea8
dddddddd,337be65565d0c21d
eeeeeeee,0b7f311aa8c29ecc
ffffffff,f3eca25a81d446d8
gggggggg,2929131c4d7748f8
hhhhhhhh,2feada77ae25040c
iiiiiiii,add8a966169479ae
jjjjjjjj,9fc918b642daf4f7
kkkkkkkk,aaed29447c85ce3a
llllllll,dc6dbe6e948c8c38
mmmmmmmm,5bb711ef60f84e6b
nnnnnnnn,37026d10813b11c3
oooooooo,27313645429f50f6
pppppppp,f5d9375308439c09
qqqqqqqq,d8254fcf03f1be37
rrrrrrrr,95572cef864fc24b
ssssssss,1b0e28d699974112
tttttttt,6eb52a019a0d2bcd
uuuuuuuu,291cf35d4b0efc01
vvvvvvvv,a27d1025d0c9142c
wwwwwwww,5e0430a6aede5820
xxxxxxxx,4d798f991d248358
yyyyyyyy,fef3a25873de1b3e
zzzzzzzz,e155671782f4bebb
00000000,dc03d7a9a3fce7c5
11111111,afe032a2f6818d3c
22222222,e5d59a63f54f07ee
33333333,925658051fb95c74
44444444,047b1e67a3cc0f17
55555555,e8c983376bddc351
66666666,75cc03af96ac6602
77777777,081aced360bd5bd7
88888888,928d0b93b6be4551
99999999,d41a68de640946ee
Provided,106ffe6161aae57e
 proper ,94672ab131ce2063
attribut,e959d273c445c58f
ion is p,eabdde61033fe275
rovided ,c6792501477b9fe6
Google h,024fbc861431acbd
ereby gr,6e25c3010cafcbf9
ants per,adedd7b2230d74df
mission ,8d511b53442c34cb
to repro,286ad1eaea918e88
duce the,398dd2e6d64dca06
 tables ,716d12d9f1580dda
and figu,d605bdaac4f36f47
res in t,1491d266e7b4b20a
his pape,3e86e10b1e50d43d
r solely,759fb3a18b30d2fe
 for use,83293a2590292350
 in jour,83fe465d5b273a42
nalistic,cc4a5a045e527561
 or scho,661051ef85f2a4c1
larly wo,f764e571ae911d1f
rks Atte,6a4fc9d94c735dea
ntion Is,dbe505d61d2c7c9f
 All You,fb97fbe88efc8524
 Need As,55a2278f60253cbe
hish Vas,21039aa4746bb14b
wani Goo,30f4d9382fb3c593
gle Brai,6bb13998a225e110
n avaswa,47e7f8bc3a8e96e3
nigoogle,881d4d492e6bd8f6
comNoam ,af2d5f7c111fd280
Shazeer ,ac9e65936595e190
Google B,68006f0b8c61a9f0
rain noa,db412be694458f70
mgooglec,3be0057d8be216c3
omNiki P,012700d52498d36a
armar Go,8c58b8ccc991346d
ogle Res,7a4c1c2ebef240b1
earch ni,1d4e11eedc15ee69
kipgoogl,60a86cd4b8992939
ecomJako,e8dd20b3fb8dc26c
b Uszkor,87434201fdbcb11d
eit Goog,192220bda20d52d4
le Resea,845972e86e9634a7
rch uszg,ab644336b2a1a504
ooglecom,67ebc7f849828890
 Llion J,7dbe12c1f422b1a5
ones Goo,b2f5a70a63ba6c52
gle Rese,e2a83797f7c2b879
arch lli,53ddca47e70eeef0
ongoogle,3f208e38be7f8d40
comAidan,9375f54a9a422cd2
 N Gomez,4aa8220ddab5cb10
  Univer,1272db118460d80d
sity of ,b7d785bb9b25c853
Toronto ,4150fa9fe892c235
aidancst,2698e8f41fb594f1
orontoed,9d83e0ed0c5c1e94
uukasz K,fad2017bae2032b9
aiser Go,f313279e0fd33ab5
ogle Bra,aeba254c8e085735
in lukas,057c84e4484fab2d
zkaiserg,d6d534d19ef5235d
ooglecom,67ebc7f849828890
 Illia P,108fa684a5adff5b
olosukhi,3f10bf21fdf867fa
n  illia,c295ba3267c6fee8
polosukh,fcdd7e40903cf914
ingmailc,5b1a904f723cfcd3
om Abstr,eddaf590e0df3192
act The ,be032016adebaf7a
dominant,f32eac2bcbcbf348
 sequenc,6a9917c99bec22c4
e transd,ecc320e156a47a0b
uction m,27a4aa91f3568179
odels ar,b89bcc5954660816
e based ,5c9f1c0cb24cf487
on compl,9c1034192536dc93
ex recur,3d911e543a9e9f99
rent or ,57de7329247d2ef2
convolut,2f10a3e15dcea194
ional ne,408b7d41de8b8128
ural net,adf9df0ce5da9adf
works th,d9a05cab5d9b45b5
at inclu,361f1c099536f869
de an en,5f73dd422cd0c469
coder an,7d77c6ac0fa2cf6e
d a deco,ef7092df44f7d64e
der The ,cadadb7866de7552
best per,781a6ebb9ebeaa14
forming ,7eae8df761196d96
models a,af22f2e12ee32718
lso conn,7f2797d3f387f00a
ect the ,3234ae2edd3801bf
encoder ,b8b276f2f20ec47b
and deco,0c77f31b55bd3718
der thro,b629b4a15f2c4fb9
ugh an a,7b654b9ade06ed26
ttention,97f21839d632f39d
 mechani,0434af9d19f85f10
sm We pr,75f34aa75a37c760
opose a ,2f5a49105efa35cf
new simp,d8bb215c430cf02a
le netwo,27374e7a18fb7fc5
rk archi,a301ce403f4b9aeb
tecture ,ac16730b3f27ccc7
the Tran,c00f5b1ab4911608
sformer ,41c8e1b96ec9b65f
based so,95e514fec3fc871f
lely on ,ce414089c23310de
attentio,b6f4da0e549a01a8
n mechan,f22796bf201404be
isms dis,056a32f52afb79f4
pensing ,3b4d297c8711db37
with rec,aefeaec4f8d17626
urrence ,323f47d5f7fd1609
and conv,06db47fc34845f91
olutions,021c6515088354f5
 entirel,8dbe5d17865d5673
y Experi,d66afd169236ad0f
ments on,5a39214ca0496548
 two mac,857cf40e5ce009f3
hine tra,455cad69b375d43f
nslation,0a2d3d7fb998feec
