Plaintext,Ciphertext
aaaaaaaa,c7fb03f562254c86
bbbbbbbb,6c8c9c70a1daad8e
cccccccc,2011068b561a3f10
dddddddd,d86babf6f8058a78
eeeeeeee,efe936756ac18325
ffffffff,072355d12b7a0a06
gggggggg,ab9a398a2ac12ecb
hhhhhhhh,482aaa4b157172ec
iiiiiiii,3046d7a0588709e9
jjjjjjjj,bc2d6747f3c103f2
kkkkkkkk,c0ab0aca7e90d86b
llllllll,e8b2d5fb554061eb
mmmmmmmm,7b9c934d01d07477
nnnnnnnn,346ba5315f46ffec
oooooooo,d6b24fedaf8f5f84
pppppppp,7a91124f770e4ac7
qqqqqqqq,cacb64d1e8bb991f
rrrrrrrr,0e7ada93343ecd67
ssssssss,8bd19b26e40feb94
tttttttt,4899fc4d78de42a2
uuuuuuuu,8bcf6c0a823f67e5
vvvvvvvv,a100d2dc51437601
wwwwwwww,d5db1c1075c45674
xxxxxxxx,57102bf03ba660f9
yyyyyyyy,95d8af72ffcfdf15
zzzzzzzz,6a67001d2054f1da
00000000,1492f7eb25048259
11111111,778747e4bbd635ce
22222222,dea6a285f255d2c1
33333333,df0d9257a47e3031
44444444,abbdd86ae8ce15c6
55555555,e4d8e90a35a4617a
66666666,d91aed93bcd9432f
77777777,69a066b69773dedd
88888888,d738fae745d27e45
99999999,81c3adeaf6cd9146
Provided,3fc999bf4acd062e
 proper ,39b09b691d7a7304
attribut,7744ba72ef3b5cf8
ion is p,5ddae4d0cc18dd65
rovided ,16aeecf0e37d2299
Google h,accbc7537fa3bc80
ereby gr,ef4f847ff22fb1ac
ants per,6508eae2a6f812e3
mission ,444e2086f03beb6e
to repro,d28b6c7c3b854596
duce the,89f3d63edfb7f563
 tables ,c831b7212a498bb4
and figu,2b31e44ba5e8cb9d
res in t,b6ea01e63b6be68b
his pape,b81faa8624368cec
r solely,4aeb0016778bad91
 for use,cf6e08f9eba47942
 in jour,52674cde0fbeb30f
nalistic,f98931da2018a567
 or scho,9cec4eeaf618c65e
larly wo,1485746a0d37e69e
rks Atte,2237634f90351c50
ntion Is,dbd67b7aeddc7d79
 All You,c78d80bee5e523e6
 Need As,9fa683635dc249a1
hish Vas,dbbe02da1b3d7378
wani Goo,5651ddf65c93dfad
gle Brai,cb06584a0921b019
n avaswa,467712a624f0ad02
nigoogle,1834005582bab25a
comNoam ,87c3cc19961a7947
Shazeer ,b16efdbf6d13ec97
Google B,b4d14b217b6209d1
rain noa,329457df8ad46b77
mgooglec,b2459e998354649c
omNiki P,980d78fd52f8c425
armar Go,00db740c8500d437
ogle Res,5746f3c818003a27
earch ni,96acc384eee22bf0
kipgoogl,f2fd712db89efc30
ecomJako,921901a85692b2ca
b Uszkor,859131e8f5d1df80
eit Goog,b9036ce79e802cb0
le Resea,ff1fbb5b42b23c16
rch uszg,f03d96d9b7f32108
ooglecom,85e9f39349baa573
 Llion J,6e08dc6f285f4bd1
ones Goo,4e5ed6ec9a16e667
gle Rese,793cd5bd530a8ead
arch lli,21a2c83e22421767
ongoogle,19330055086f1347
comAidan,2e1957c8c4bf6a3f
 N Gomez,273f684bcb337736
  Univer,7392fcd5a1b0319b
sity of ,0db1b90461b96d72
Toronto ,9dfcc42f7a1cee09
aidancst,593ba15676885230
orontoed,d4381974fd2f54aa
uukasz K,e151acec1c19d83f
aiser Go,00c06a08008a3cf2
ogle Bra,c14f9a5c0203c830
in lukas,e14fb90600bba3d9
zkaiserg,5d74d1f52085bb18
ooglecom,85e9f39349baa573
 Illia P,bf8643b42ef7c6aa
olosukhi,9526a737dbc0da67
n  illia,5b33df712b8d29b8
polosukh,0bc94d5bcc5e7b48
ingmailc,27df041d7516b225
om Abstr,cddadde978e40f17
act The ,45b83fb3637b1059
dominant,d2ba9f9faacbacc5
 sequenc,d85b4926607b7ed7
e transd,aa1606438fe71c86
uction m,f9c9ad28e16f64b0
odels ar,5a9e14448af089e3
e based ,bc8cc7dfcb4799f5
on compl,a5293e3728763b6d
ex recur,f8385a988d849b41
rent or ,065bcf532656a2a2
convolut,9945d37c3795eee4
ional ne,7ccc512b355ae7e6
ural net,3b33574fb68ec786
works th,7ea2a3b339f70fc0
at inclu,bc567cddba5ce138
de an en,9c137a2d0efca119
coder an,3ea975e1cf51f901
d a deco,2a13cc26108cfbf5
der The ,40be39b3975718c1
best per,6603ede5363d42d4
forming ,4853c94218c0ba7d
models a,752c1754bd468975
lso conn,0adbebce47e7c850
ect the ,0378133f1ab6abe0
encoder ,38bb3d65fbb3f510
and deco,2f5dc926caebe20e
der thro,d396d817aca669a5
ugh an a,3f996806044b2e4a
ttention,5bd229789c9185d4
 mechani,3869994ca8082feb
sm We pr,9a9857395d12879b
opose a ,049e63278550ae41
new simp,56895a1f2df8a704
le netwo,bd266f74ba9a32fc
rk archi,e3577b5b97a6cd45
tecture ,163ca0334085556c
the Tran,ec86b9c6481cacac
sformer ,b1f6ca1069cacb23
based so,59fd466786f50cd6
lely on ,2ffa806337c869b8
attentio,13e7099318e6f80b
n mechan,a302abb9ffa057c8
isms dis,2d3c69faa71cd59b
pensing ,5e59d55cb9929cdb
with rec,74c6bf87ea559514
urrence ,119616a4bd3fb1d1
and conv,625e4d4e3d224170
olutions,0ce3f7818aff6839
 entirel,b226fdd3789718c9
y Experi,136c8be52a075ab3
ments on,56c233c1b381506e
 two mac,19ac5e1c05083f8b
hine tra,045081d49b0ba17d
nslation,41d520775f3add43
 tasks s,a9d6d2e1e3bd4f06
how thes,e8d122a03b007c13
e models,b234b85fa61bb147
 to be s,d8a653dddc707528
uperior ,dd89a648336cdf45
in quali,58d929d91a7c577b
ty while,b84ba51b7dbbfb36
 being m,c162e6230e3de079
ore para,a7f03971ac3a8966
llelizab,c115e02fa9f687f1
le and r,a112499c9b46f7da
equiring,37356f4028e8eb14
 signifi,218a0368da825c37
cantly l,47cce09930b62188
ess time,257cfe0839fe302c
 to trai,1faaaacd60a46a65
n Our mo,5d28d1f695780054
del achi,578f866e17ba87d6
eves 284,2119bdbf8f078db4
 BLEU on,55667f805680278e
