Plaintext,Ciphertext
aaaaaaaa,15b1b61a0c7e1d9b
bbbbbbbb,e6d5579905d394e7
cccccccc,46a2bb7dacbc1f40
dddddddd,1bf49642bf0d4258
eeeeeeee,36e3ee1508284d6b
ffffffff,84bc07a586b752a4
gggggggg,c5fd84741e22eb6a
hhhhhhhh,26d63b00f02fe5c7
iiiiiiii,a3b528f6e649f694
jjjjjjjj,8084c086390a860a
kkkkkkkk,bfbffe441226d8d9
llllllll,e8e6497ee95ee8b1
mmmmmmmm,bd88f79bf3b14803
nnnnnnnn,7d0340521b7b6420
oooooooo,6a1b76435ad86c99
pppppppp,1e4a1be886b7ae39
qqqqqqqq,b720385ddc74200b
rrrrrrrr,03e58a6e9e6a41d8
ssssssss,cc3a6d471d4179cb
tttttttt,0d6139325e98cb5b
uuuuuuuu,cbb8e3f3d38a8e90
vvvvvvvv,23268e90fb94cf9a
wwwwwwww,e5eeb80536370890
xxxxxxxx,5e46e7c15f1259d9
yyyyyyyy,f9f4aeaae6beb689
zzzzzzzz,f06994152ea0231d
00000000,2d59fe6aa724b9e7
11111111,f7bf1ab9444a101e
22222222,a4ad98d7a7dc78ea
33333333,820fb71d3dd7504a
44444444,60b5257a9b4b3a77
55555555,cf4c35c3017c3dfc
66666666,8fadd339fb0fbb06
77777777,754f9e8a24ebd664
88888888,6a117e1de379cdc5
99999999,8efde45b7fb21468
Provided,f91d146ece50edc2
 proper ,690de33fb86fc6ce
attribut,e02646384850d473
ion is p,a94bcba07de41e2e
rovided ,88ee516b7ebcc112
Google h,cea6d54251e95ae6
ereby gr,0f689187b41b00c2
ants per,15954b2dfba3a5c6
mission ,4d7dd76f3a3474d3
to repro,578598754fcab028
duce the,c3f268832174ec75
 tables ,627b848e241cc9ac
and figu,0e2e742193c3a934
res in t,d08b2357b75edda9
his pape,ac869dcc60262093
r solely,ca885996cb64af8a
 for use,c895579da0dae042
 in jour,25d7b6cc6029b0d5
nalistic,18aa5b33ba55aa23
 or scho,dce1e46093a06306
larly wo,00adbb6887d52a61
rks Atte,a756e59605026fe5
ntion Is,eea1bb08bf5ede17
 All You,70174b643ffad449
 Need As,2ddee131cc8f4df3
hish Vas,8df6a80dd449a31b
wani Goo,c155ed528f6308d4
gle Brai,116cc86f07ea643b
n avaswa,4e38f25a7f9678ed
nigoogle,b76d4a207f6a24ac
comNoam ,7d1c5186d5c2ac6c
Shazeer ,352ade517c4daa4e
Google B,32c3f38cde2425e2
rain noa,1b464132ad503cde
mgooglec,03f0b46fbfe9d7d1
