Plaintext,Ciphertext
aaaaaaaa,de5b8ebc210c7d06
bbbbbbbb,4a732921e465e5f4
cccccccc,ea2eb2ca0e68d484
dddddddd,ac4ccf7eab84c6c5
eeeeeeee,2c512da16e4add31
ffffffff,884c6fd07e9c18e0
gggggggg,8dd6b8517e2130ce
hhhhhhhh,4d69cec60ff225fa
iiiiiiii,149cd214537ba966
jjjjjjjj,2353a7a811a64c28
kkkkkkkk,1b56e0ac16376aca
llllllll,95f493619c0344f1
mmmmmmmm,957502cd9d60ecf6
nnnnnnnn,06025b750cd21444
oooooooo,dd769f62ea336c3c
pppppppp,dec7bbdf053b6b12
qqqqqqqq,c0edf9f9cfed9aaa
rrrrrrrr,5c2d22c29ec9f3af
ssssssss,317e5453ea46e2bf
tttttttt,c7581ae56b171ae7
uuuuuuuu,e06d998a1186ea9c
vvvvvvvv,ac4b604bc6c41340
wwwwwwww,4dc2a0c3ce263bc9
xxxxxxxx,bae895563f62985b
yyyyyyyy,54a9dd17f9516a98
zzzzzzzz,642b34ded6b88723
00000000,c69d33c814949528
11111111,426609878d543d94
22222222,8fd5b3e64821ec39
33333333,a164e0e04e5b5739
44444444,7d73b9ea55f54c5f
55555555,e98654937bd22153
66666666,dff91c6a6ced0597
77777777,b2f93b1e514fe358
88888888,6adff12db1fb9ec8
99999999,d7899623ee0a1472
Provided,443cf0f809613d61
 proper ,6f9e8531e6bbe973
attribut,34f60c16e8e5894b
ion is p,afab41f4ef545336
rovided ,8c90aee91545b2f5
Google h,852fc7300f288058
ereby gr,e0bf133c4ef487ff
ants per,f2539644c708620f
mission ,334c8070468bfbd8
to repro,0949657e49bd3289
duce the,7f85c775f85def91
 tables ,cc43856d2afa60fa
and figu,2642acac7ba9ef9c
res in t,ad3aab697a22a6d4
his pape,f081ec5de69dda1c
r solely,a2ea4503e49fab26
 for use,b3d13a56c165ec4f
 in jour,0bfb0cebd973ddcb
nalistic,f5bfef44f906a85a
 or scho,46ddd5290fd1f2e9
larly wo,8873227fc1a65df1
rks Atte,fb65af047de260d2
ntion Is,2773fbde8b088068
 All You,22882f777a03671b
 Need As,a78970936fc3ca02
hish Vas,74d298719d9c7e58
wani Goo,583e8ef900fd25e6
gle Brai,cb198f61fe2ea7d1
n avaswa,602683e203120998
nigoogle,a691b881dde250ad
comNoam ,62c1e9aaf1829705
Shazeer ,cd2b142a5f44a5a9
Google B,864b876d8d25ed4a
rain noa,8f617c42cbf292f5
mgooglec,7d1738210a4a116b
omNiki P,6866fc4f9c2790af
armar Go,d628ec4a008caf08
ogle Res,d761925bcc6bf219
earch ni,fa5489fcb38e0e7e
kipgoogl,593137d23275eaad
ecomJako,0b78ab218fa2f98f
b Uszkor,5de743cd54259d5c
eit Goog,83f593bb7438a5c9
le Resea,1a8da94efb9d022a
rch uszg,2a9fafeadd89ffd8
ooglecom,fb6afc08a25549cf
 Llion J,5096b565de70139d
ones Goo,a6b98a79ab596487
gle Rese,ade37493910a5f16
arch lli,ab9180fcef5cd2cf
ongoogle,6b4924ea18d358d8
comAidan,38e790650bf9b78f
 N Gomez,877d283cb053eb5f
  Univer,0ada2b72f05a0d3c
sity of ,5216b14cdfa4f1f0
Toronto ,5266a1a1ec9d1cd1
aidancst,dcd6af65c01b60ed
orontoed,edc6edd1b689fff9
uukasz K,2b117b28074982f8
aiser Go,413c94705fe4414e
ogle Bra,590a83a45489112e
in lukas,9cd5455399b2478b
zkaiserg,79a449a961653e57
ooglecom,fb6afc08a25549cf
 Illia P,52a30c8e505fa4cc
olosukhi,47e06007d8d148d9
n  illia,f4683db1e64111aa
polosukh,5a92292a09c3903f
ingmailc,a0bfa0529bcb5db2
om Abstr,ffbda61c54068874
act The ,3f8fd38cc44130d9
dominant,cda13f3b0e2d84ec
 sequenc,1eaffe5fbec16ac0
e transd,f0a5c29d25f554e6
uction m,1e1d61d0fbe67f2f
odels ar,7eaa4d435eabf98c
e based ,9f7df68038ece20e
on compl,7885e8fd0fb6abda
ex recur,6ac5e5adcf987ca1
rent or ,89749b79307a46fe
convolut,5188cd3b9d85c9c9
ional ne,7e0214de424f4d56
ural net,0a2828ab43e8c267
works th,1b7cce644eda89b5
at inclu,b032f5204d0fdf7b
de an en,5eef462f67ec1892
coder an,f64f7e2956fd6192
d a deco,573e536001c7de78
der The ,fdc88aaadd6d5964
best per,32ff3c90511d407e
forming ,4402fe70963710a8
models a,817e831979286884
lso conn,fef83ba43c92e575
ect the ,a5b854ed5b3b6e0a
encoder ,6bf343abf05ad29c
and deco,9f7079a801518a94
der thro,95f5ad420f5b6e95
ugh an a,fd41d90173f4947d
ttention,e7297e22e69f1834
 mechani,1e833359cb2ec482
sm We pr,8ee409b04bd5f62d
opose a ,ca160ebbeab201a0
new simp,e1abc6ec053ee656
le netwo,65732b93ac9a0fea
rk archi,4e7cbb14906102eb
tecture ,2a2c113a42281d01
the Tran,4b61fb597d1cee7b
sformer ,5d7745c3b34d521e
based so,47f1fb2024269d54
lely on ,2d80dd384cefa47c
attentio,4016a87bc0155145
n mechan,a837f3ea42c7839e
isms dis,94ed405e3923977c
pensing ,ad72fbb6156652d5
with rec,5c28dcf51c2a09d8
urrence ,ab3d23d9873ca4f7
and conv,59fd56ec46afbb76
olutions,ce699e23d9b46160
 entirel,77d6048b7b7142ad
y Experi,f14f96826b1b3e9c
ments on,d4602a1751e9ff39
 two mac,5bc8d536a1cb879b
hine tra,e792b1c925a28805
nslation,9bb1d7111a6ffc8e
 tasks s,c7e0aac1311d1eaa
how thes,bae340921df7f287
e models,59a694be2535924a
 to be s,e012dcbe738a7683
uperior ,3ee639fb8a4d25ba
in quali,7915d0585dd2f44e
ty while,275c7c45bab7399d
 being m,7cec51b7819517a8
ore para,368a590c4d253284
llelizab,5251900ebbcc90eb
le and r,687d7a181e7a4fd0
equiring,38ee4ac74f0c96ef
 signifi,f4b05a137ae8e356
cantly l,84c4e4b904d2bf9e
ess time,f9381168479d6212
 to trai,2a7883b9dd1fd57f
n Our mo,118cf1aa7afab22a
del achi,6199ea4d658adcdb
eves 284,a091a9be3dc2f927
 BLEU on,b10d9199cb5f6c7d
 the WMT,d12df13cbf22add9
 2014 En,957ea0eec16f866a
glish to,b805c42826d6015a
