Plaintext,Ciphertext
aaaaaaaa,ceabc603a3eafb5c
bbbbbbbb,ce6f41c833401fb7
cccccccc,4cdd188e7752f3a6
dddddddd,b8b48cb8378a6916
eeeeeeee,e20e02de2ba5938a
ffffffff,6d5b27547e060769
gggggggg,afcb227a8f54fbd6
hhhhhhhh,af6cdd5d16116d09
iiiiiiii,8532f54b76dd9d3c
jjjjjjjj,635da7a2136c7d3a
kkkkkkkk,1ae99d2befb789c3
llllllll,5491c698a56430a9
mmmmmmmm,e562c9ecea585f39
nnnnnnnn,86362050d0d634c3
oooooooo,6fe3df843ae2131d
pppppppp,ba7fd1de2b5d3ce1
qqqqqqqq,41cee32893818142
rrrrrrrr,7be7487eebc42318
ssssssss,2af9fb47d2b6eca1
tttttttt,429684d54c53941b
uuuuuuuu,2de710afec602427
vvvvvvvv,0c694c5c755d5aa2
wwwwwwww,708fd561f44cfb87
xxxxxxxx,98a74a958d86f22b
yyyyyyyy,88e0d796ba87b2bc
zzzzzzzz,88a5d8338a8ee290
00000000,0b5e5fc97b33bee6
11111111,2542e526ff2ca4b4
22222222,e8a97f1ed9288081
33333333,55e41a5bdde33386
44444444,9ea14afee398a592
55555555,5fb00994f7f7211e
66666666,cf78b860b82c49e5
77777777,74240fddef5de521
88888888,375be5cd6157f3f2
99999999,9315cfa6a30c37c7
Provided,dc0f40e5357ac9fc
 proper ,e45b01ee7e096e08
attribut,cfc51be84a985538
ion is p,1c77bb874e2b3d30
rovided ,2d17372e2a89db0b
Google h,f1c95321c78ac0f8
ereby gr,615f0101b613bcb2
ants per,98f45cbc1d8e08ee
mission ,760a744086bb2aaf
to repro,e37be7ec4190b95c
duce the,7b77ad7dd4a57ebc
 tables ,7e176d6b26c7bf57
and figu,118acb45199eb083
res in t,dd6ffdff66e4e860
his pape,64d9c808bb9a4b27
r solely,f47cc66981a9d477
 for use,ca5b5ede2b7ed8f8
 in jour,ea8572315bd0e905
nalistic,7fd075a8920b1197
 or scho,259fa8182ca6aca1
larly wo,bb4437d05ddf9554
rks Atte,30fe8a3d22fb59a5
ntion Is,cc3c589f1b0281fb
 All You,9896040d30f4da0b
 Need As,bec72b86983c61df
hish Vas,f15bcb97cb90f9f4
wani Goo,9fdc3ab9182777f6
gle Brai,01ec8e4658c15336
n avaswa,c498ec0865d7d2e9
nigoogle,38db647ae3ca8905
comNoam ,5fd8083bda70d7fb
Shazeer ,4f16622acd0cca0f
Google B,c7e16bff63d7e390
rain noa,ff010812c316420d
mgooglec,d086400d6783ff49
omNiki P,4f7fdd9b1f009575
armar Go,c4d9e010652bb2b1
ogle Res,8ae4da974f685832
earch ni,9b695c629aed080d
kipgoogl,19bc134736c7701b
ecomJako,20772ba04d5a2d13
b Uszkor,0bba26049496a450
