Plaintext,Ciphertext
aaaaaaaa,61616161c7fb03f5
bbbbbbbb,626262626c8c9c70
cccccccc,636363632011068b
dddddddd,64646464d86babf6
eeeeeeee,65656565efe93675
ffffffff,66666666072355d1
gggggggg,67676767ab9a398a
hhhhhhhh,68686868482aaa4b
iiiiiiii,696969693046d7a0
jjjjjjjj,6a6a6a6abc2d6747
kkkkkkkk,6b6b6b6bc0ab0aca
llllllll,6c6c6c6ce8b2d5fb
mmmmmmmm,6d6d6d6d7b9c934d
nnnnnnnn,6e6e6e6e346ba531
oooooooo,6f6f6f6fd6b24fed
pppppppp,707070707a91124f
qqqqqqqq,71717171cacb64d1
rrrrrrrr,727272720e7ada93
ssssssss,737373738bd19b26
tttttttt,747474744899fc4d
uuuuuuuu,757575758bcf6c0a
vvvvvvvv,76767676a100d2dc
wwwwwwww,77777777d5db1c10
xxxxxxxx,7878787857102bf0
yyyyyyyy,7979797995d8af72
zzzzzzzz,7a7a7a7a6a67001d
00000000,303030301492f7eb
11111111,31313131778747e4
22222222,32323232dea6a285
33333333,33333333df0d9257
44444444,34343434abbdd86a
55555555,35353535e4d8e90a
66666666,36363636d91aed93
77777777,3737373769a066b6
88888888,38383838d738fae7
99999999,3939393981c3adea
Provided,696465643fc999bf
 proper ,7065722039b09b69
attribut,696275747744ba72
ion is p,697320705ddae4d0
rovided ,6465642016aeecf0
Google h,6c652068accbc753
ereby gr,79206772ef4f847f
ants per,207065726508eae2
mission ,696f6e20444e2086
to repro,6570726fd28b6c7c
duce the,2074686589f3d63e
 tables ,6c657320c831b721
and figu,666967752b31e44b
res in t,696e2074b6ea01e6
his pape,70617065b81faa86
r solely,6c656c794aeb0016
 for use,20757365cf6e08f9
 in jour,6a6f757252674cde
nalistic,73746963f98931da
 or scho,7363686f9cec4eea
larly wo,7920776f1485746a
rks Atte,417474652237634f
ntion Is,6e204973dbd67b7a
 All You,20596f75c78d80be
 Need As,642041739fa68363
hish Vas,20566173dbbe02da
